Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;813.828918;775.102112;120.095192;783.440735;678.513489;62.396328;825.457275;1064.698486;398.341644;808.014709;692.078613;60.491936;804.665649;1020.488953;235.249451
2;812.955383;776.284973;122.306976;782.432556;679.677246;64.782341;826.049011;1066.157715;398.478821;807.099487;693.468811;62.119083;804.515625;1022.492676;236.287704
3;812.283875;777.657593;124.444771;781.1073;680.659058;66.850739;826.222046;1067.594849;398.633759;805.946655;694.457336;64.976814;804.560547;1024.292603;236.337921
4;811.427673;779.180359;126.467628;779.641602;681.752319;70.146439;826.123962;1069.155762;399.388641;805.636963;694.692444;68.295731;805.302307;1026.323975;236.453934
5;810.654358;780.200317;128.420044;778.688293;682.906982;72.696724;826.28418;1070.689941;399.925262;805.23468;695.502625;71.616356;805.776917;1028.211304;236.514496
6;809.81604;782.052734;130.671646;777.466736;684.63678;75.409523;826.762756;1072.543945;399.738586;803.575256;697.285339;74.012894;805.520447;1030.483887;237.784729
7;808.898132;783.502808;133.190384;776.322144;685.922668;77.331322;827.092407;1074.309937;400.578735;802.468689;698.631042;76.883507;805.220215;1032.648438;238.676285
8;808.019653;785.427063;135.114349;774.896484;688.006104;80.300316;827.103516;1076.106079;401.238892;801.64502;699.712585;79.49012;805.369324;1034.9198;239.364594
9;807.022827;787.370239;137.524857;773.397888;689.562683;82.788017;827.319885;1077.849121;401.572662;799.924988;701.601563;82.144882;805.679626;1037.400024;239.799576
10;805.923035;789.13739;139.485779;771.7453;691.310364;85.715805;827.865417;1079.85791;401.804321;798.537048;702.969727;84.939011;805.492615;1039.620972;240.262787
11;804.703613;791.193176;142.297318;770.787781;693.210205;88.588806;828.256653;1081.875732;401.890381;796.7453;705.208313;86.909027;805.439453;1042.012573;241.309723
12;803.497253;793.400269;144.678329;768.998657;695.056213;91.181892;828.319336;1083.931519;402.578888;795.924316;706.737;90.352104;805.340698;1044.940796;242.28656
13;802.374084;795.646057;146.693665;767.515381;697.204956;93.794319;828.092407;1085.984863;403.811157;794.146057;708.92981;92.88018;805.292053;1047.915527;242.705933
14;801.339661;798.124146;148.992401;766.250549;699.510071;96.497795;828.384705;1088.212036;404.272308;793.340942;710.980835;95.867249;805.342834;1050.484253;243.181213
15;800.226379;800.230408;150.764557;764.920715;702.145081;98.935974;828.679688;1090.401855;404.738831;791.760071;713.429321;97.776802;804.804565;1053.426636;244.001602
16;798.957825;802.920837;153.325699;763.29895;704.581909;101.181824;828.632141;1092.646729;405.537323;789.926147;715.74646;100.357506;805.029785;1056.34314;244.670547
17;797.395264;805.16156;155.444031;761.245178;706.912842;104.357979;829.060974;1094.774414;406.324249;788.59198;717.902039;103.318665;804.940369;1059.389526;245.20813
18;796.229248;807.841553;157.614868;759.857605;709.67688;106.060844;829.551636;1097.155029;406.612427;787.442261;720.05542;105.762825;804.229797;1062.466919;246.867844
19;794.901917;810.866882;159.859756;758.342651;712.427673;108.155113;829.820923;1099.403931;407.042694;785.488403;722.971313;107.813385;804.453918;1065.376709;247.901428
20;793.59729;813.333191;161.616913;756.235596;714.96228;110.86705;829.871399;1101.764038;408.046661;783.475769;725.51886;110.200111;804.067261;1068.496948;248.763367
21;792.191895;816.273438;163.704544;754.483582;717.997192;112.827637;830.299927;1104.199219;408.711243;782.179626;728.083557;112.166565;804.240906;1071.757568;249.684204
22;790.605164;819.407532;165.663971;752.694275;721.001648;115.022667;830.636292;1106.58374;409.228333;780.518799;731.346924;114.185844;803.989441;1074.982666;250.467407
23;789.246826;822.473694;167.535095;750.393433;723.908508;117.35775;830.765625;1108.875977;409.912354;777.60675;734.761597;115.69281;803.785217;1078.342651;251.011169
24;787.521973;825.370483;169.399841;748.715576;727.395264;119.4086;831.370728;1111.432373;410.146179;776.62616;736.910461;118.093582;803.623779;1081.574829;252.13562
25;785.961365;828.439697;171.348801;746.719604;730.703247;120.627266;831.198608;1113.85083;411.164459;774.302002;740.197937;119.679108;803.656372;1084.553955;253.115021
26;784.382568;831.806335;173.124924;744.72168;734.127197;122.336044;831.521606;1116.044312;412.337463;771.874451;743.683838;121.497375;803.764832;1087.859375;253.837311
27;782.478699;835.162781;174.938171;742.593811;737.277771;124.093048;831.810852;1118.566162;412.870819;769.578796;746.95459;122.994316;803.503784;1091.354614;255.055817
28;781.014526;838.171448;176.249588;740.131592;740.908936;126.199135;831.927979;1120.991089;413.66037;768.13208;749.983826;125.300194;803.520569;1094.503418;255.922104
29;779.021301;841.366333;177.958847;737.709351;744.442993;127.709724;831.945679;1123.193481;414.645233;765.541321;753.282654;127.176918;803.322571;1098.016479;256.454895
30;777.10968;844.737793;179.203568;735.202515;748.011658;129.087997;832.730652;1125.520874;415.251648;762.733337;756.780579;128.409195;802.886414;1101.457886;257.742432
31;775.211121;848.348816;180.700195;732.863403;751.4505;130.052216;833.426697;1127.902588;415.493103;760.647034;760.397278;129.281982;802.702209;1104.671387;258.597565
32;773.465759;851.744934;182.04834;730.524231;755.19574;131.616898;832.870544;1130.162109;416.816193;758.307068;763.740967;131.076447;802.610291;1107.77771;259.504211
33;771.497437;854.911682;183.153778;727.886963;758.821655;132.712997;833.013489;1132.609375;418.149689;755.842102;766.987244;131.867416;802.427734;1111.276489;260.57428
34;769.614685;858.198608;184.037155;724.969543;762.632019;134.548218;833.987671;1134.816528;418.667725;753.647461;770.580505;133.483688;802.399902;1114.393311;261.515625
