Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;939.749268;854.448792;68.991554;1198.51062;932.76001;231.79155;857.319824;801.945068;34.368549;804.661194;857.217041;37.897522;1162.22644;895.363342;395.169006
2;939.738647;854.458374;68.949341;1198.460571;932.834534;231.858749;857.297974;801.931763;34.325386;804.723267;857.235962;37.851646;1162.22644;895.363342;395.169006
3;939.76062;854.203186;69.653801;1198.469482;932.860718;231.788071;857.299194;801.935181;34.323921;804.739136;857.238831;37.835686;1162.22644;895.363342;395.169006
4;939.653931;854.410034;69.261749;1198.47168;932.889526;231.773697;857.328918;801.857727;34.370872;804.721252;857.248108;37.883175;1162.137085;895.376587;395.127014
5;939.763428;854.22113;69.755096;1198.435913;932.882263;231.848877;857.350647;801.817017;34.342594;804.702332;857.227295;37.986996;1162.107178;895.37854;395.127014
6;939.610291;854.395752;69.383995;1198.440552;932.939636;231.758743;857.391235;801.850342;34.334625;804.766418;857.40033;37.550373;1162.224243;895.340637;395.078094
7;939.68457;854.213684;69.871216;1198.508911;932.969543;231.757355;857.388428;801.74054;34.28228;804.764526;857.391296;37.751556;1162.209351;895.383118;395.026398
8;939.574463;854.100891;70.182716;1198.522949;933.003662;231.780472;857.436523;801.592957;34.340282;804.60376;857.346924;37.95649;1162.11499;895.375977;395.08316
9;939.45105;854.106384;70.273033;1198.530884;932.999329;231.811279;857.420654;801.43866;34.360279;804.62738;857.45813;37.380371;1162.046753;895.377075;395.026154
10;939.457703;854.192078;70.338593;1198.59021;933.070496;231.730759;857.456848;801.213989;34.446411;804.699951;857.511902;37.815228;1162.050415;895.37561;395.002747
11;939.397522;854.226135;70.420738;1198.738037;932.925415;232.043243;857.549561;800.941895;34.467556;804.564148;857.580078;38.223804;1162.020874;895.478455;395.037628
12;939.378052;854.241455;70.55674;1198.780518;933.041199;231.683334;857.676941;800.694763;34.522652;804.458313;857.701965;38.489616;1161.96106;895.512207;394.971558
13;939.429565;854.290771;70.712563;1198.879761;933.09668;231.479568;857.700012;800.454346;34.635559;804.134766;857.765137;38.877739;1161.984009;895.512817;394.913483
14;939.373047;854.414001;70.865158;1198.981567;933.09021;231.398956;857.695251;800.233643;34.876183;804.205261;857.827087;39.264996;1161.968628;895.493958;394.912903
15;939.380981;854.546997;71.183319;1199.130249;933.06488;231.316589;857.952576;799.958984;35.491478;803.916321;857.893188;39.765167;1161.983398;895.377075;394.807343
16;939.357422;854.780457;71.48262;1199.373901;933.057373;231.239853;858.088562;799.560486;36.312603;803.633972;857.944275;40.306683;1161.917725;895.481079;394.805847
17;939.275513;855.01886;71.83947;1199.57251;933.031494;231.135635;858.169006;799.145752;37.076958;803.564636;858.03833;40.749577;1161.834106;895.540466;394.836426
18;939.170959;855.23822;72.128258;1199.77356;932.985046;231.105316;858.109924;798.890198;37.871254;803.656616;858.11908;41.078144;1161.737793;895.533569;394.795258
19;939.009949;855.46875;72.442032;1199.902832;932.92041;231.023224;858.019531;798.615784;38.67366;803.715576;858.139038;41.479465;1161.764771;895.5271;394.823914
20;938.94458;855.693359;73.459221;1200.11731;932.906921;230.9487;857.794067;798.305542;39.809727;803.556946;858.089844;43.067886;1161.727783;895.548218;394.750427
21;938.615356;855.972778;74.498184;1200.216797;932.870178;230.876083;857.984009;797.963379;40.974785;802.852112;857.992065;44.615501;1161.677002;895.536316;394.747498
22;938.373413;856.243896;75.023239;1200.404785;932.77124;230.791306;858.283752;797.549805;42.126163;802.565735;858.124268;45.712154;1161.583496;895.555054;394.685425
23;938.221619;856.531311;75.411636;1200.526611;932.779907;230.788025;858.065247;797.19342;43.409069;802.286194;858.295349;46.398018;1161.628662;895.503418;394.648834
24;938.014709;856.792419;75.881172;1200.635132;932.783142;230.693741;857.611938;796.822327;44.992477;802.391235;858.389404;47.311966;1161.61145;895.549683;394.614105
25;937.768066;856.991821;76.610863;1200.820068;932.783875;230.621231;857.306946;796.553345;46.789703;802.262268;858.40979;48.714756;1161.633301;895.532776;394.567749
26;936.796326;857.304688;77.667946;1200.933594;932.764038;230.544373;857.262146;796.110352;48.432175;801.680481;858.319702;50.268318;1161.590454;895.608765;394.5242
27;936.087341;857.601135;78.869286;1201.001709;932.748901;230.515335;857.302063;795.452759;49.570419;801.42688;858.457397;51.402203;1161.483765;895.525024;394.465668
28;935.996887;857.62262;79.696831;1201.072388;932.767761;230.513962;857.157654;794.98291;50.965328;801.318726;858.501526;52.151691;1161.422485;895.520752;394.385834
29;936.388367;857.303528;80.201462;1201.127686;932.772095;230.462906;856.795959;794.371643;52.885704;800.778259;858.243103;54.443428;1161.263916;895.525513;394.372498
30;935.626892;857.27533;81.519661;1201.153809;932.666931;230.424225;856.942627;793.325867;55.131809;799.683777;858.051514;56.294018;1161.132446;895.539612;394.273773
31;935.331543;857.338074;82.477898;1201.119019;932.668518;230.401947;857.076782;792.159851;56.689636;798.700073;857.790588;57.635036;1160.923462;895.483887;394.098663
32;935.008789;857.203674;83.433746;1201.151733;932.606689;230.33725;857.250427;791.07373;57.807255;798.509277;857.403687;58.890701;1160.985107;895.499756;394.020599
33;934.814636;856.776306;84.256332;1201.197266;932.5849;230.321701;857.223145;789.986633;60.267067;798.127075;856.873413;60.823544;1160.912842;895.331665;393.862488
34;934.474426;856.615356;84.803123;1201.15625;932.596252;230.258301;856.856201;788.509827;62.699047;797.573914;856.333069;62.370701;1160.487793;895.347168;393.727203
35;933.917969;856.255859;85.921432;1201.11853;932.52301;230.213455;857.182373;786.63269;65.768768;797.174377;855.393433;64.290848;1160.189697;895.321655;393.665283
36;933.031616;855.94281;87.050545;1201.002441;932.422852;230.226593;857.563721;785.058289;67.848442;795.862976;854.427368;66.210762;1159.882935;895.302307;393.636505
37;932.252258;855.526489;88.07946;1200.892212;932.418091;230.131287;857.918274;783.354248;69.383812;795.035095;853.512878;67.926323;1159.559448;895.275757;393.531738
38;931.833252;854.862671;89.019402;1200.725464;932.387573;229.86824;858.353638;781.572754;71.582344;794.680237;852.25531;69.877289;1159.459717;895.121155;393.442657
39;931.53125;853.883606;90.288467;1200.455322;932.309204;229.60907;858.412109;779.778015;73.223137;794.274841;850.806335;71.376389;1159.10083;895.078552;393.297363
40;931.069763;852.950378;91.205505;1200.65686;931.957397;229.874008;858.356995;777.995667;75.556755;793.885559;849.433533;72.986885;1158.717529;895.06073;393.190399
41;930.356934;852.09845;92.034271;1200.169434;932.084412;229.528656;858.309631;776.075928;77.79937;792.908569;847.681885;74.31691;1158.529297;895.157959;393.093506
42;929.398438;851.052429;93.066216;1199.93457;932.006165;229.406174;858.967407;773.65332;80.249863;792.300781;846.014709;76.397812;1158.36499;895.123596;393.020844
43;928.78186;849.64032;94.361778;1199.190186;931.860229;229.093857;859.427917;771.408142;81.472321;791.122192;844.246216;78.641907;1158.227783;895.051331;392.875153
44;928.309021;848.535583;95.320946;1198.374878;931.664551;229.064545;860.568481;768.930603;83.238625;790.450134;842.167664;80.589828;1158.047485;894.844482;392.701172
45;927.607727;847.30426;96.330681;1197.695679;931.473145;228.99971;861.533997;765.872375;85.153954;790.495117;839.73175;82.035934;1157.467651;894.781189;392.812225
46;926.832703;845.587219;97.120064;1197.008057;931.290527;228.772476;862.050964;763.34729;86.291817;789.702209;837.416748;83.433563;1156.942505;894.636963;392.659668
47;925.999817;844.093689;98.207413;1196.387573;931.185913;228.602753;862.812561;760.638;88.084221;788.627747;834.879211;85.05159;1156.415039;894.476501;392.479187
48;925.551819;842.473389;99.25058;1195.894409;931.065857;228.488846;863.439209;757.604309;89.520897;787.963318;832.629761;86.999992;1155.573486;894.292297;392.501648
49;925.026184;840.662415;99.644585;1195.274902;930.817993;228.203705;864.288086;754.720581;91.115921;786.824158;829.869019;89.064156;1155.157959;894.135742;392.222778
50;924.968933;838.474731;100.773811;1194.37085;930.657837;227.505142;865.354004;751.836487;92.972107;786.53717;827.460999;90.293015;1154.606201;893.925781;391.840393
51;924.493103;836.488892;101.699295;1193.64563;930.129395;227.319855;866.332581;748.874878;94.622437;785.588114;825.0276696666667;92.252246;1153.936768;893.681946;391.664307
52;923.591736;834.736572;102.568886;1192.942261;929.865234;226.801163;867.054382;745.676147;96.476402;784.639058;822.5943403333333;94.211477;1153.564209;893.460754;391.505524
53;922.422668;832.664856;103.79705;1192.242065;929.75708;225.993469;867.823242;742.571533;98.625069;783.690002;820.161011;96.170708;1153.371826;893.278503;391.283478
54;921.797546;830.53656;104.516792;1191.548828;929.189453;226.139435;868.114319;740.148804;100.774971;783.237549;817.82489;97.707672;1153.695557;892.924805;390.896637
