Frame;1_X;1_Y;1_Z
1;888.456665;640.153625;141.696014
2;888.425232;640.162537;141.659912
3;888.395996;640.260742;141.677597
4;888.311279;640.304443;141.782562
5;888.356812;640.293518;141.810837
6;888.271057;640.367432;141.880844
7;888.225525;640.390869;141.92305
8;888.18988;640.479858;141.975967
9;888.156006;640.517578;142.01152
10;888.121826;640.591492;142.061508
11;888.008362;640.622314;142.182053
12;887.921936;640.707825;142.33136
13;887.717957;640.696411;142.404251
14;887.68573;640.775269;142.451843
15;887.646729;640.793396;142.509308
16;887.569458;640.78833;142.619934
17;887.546692;640.8526;142.67746
18;887.48114;640.885803;143.239044
19;887.218994;641.028015;143.806992
20;886.88916;641.086853;144.234406
21;886.615356;641.179565;144.707138
22;886.282898;641.261475;145.158127
23;885.940918;641.342407;145.669769
24;885.393372;641.485718;146.34314
25;884.587585;641.700745;147.071732
26;884.114807;641.833801;147.426697
27;883.950378;641.863647;147.792175
28;883.652649;641.84613;148.260834
29;883.274658;641.970032;148.822906
30;882.881165;642.147095;149.557343
31;882.434265;642.063049;150.57692
32;881.647766;642.020996;151.518463
33;880.370789;642.185242;152.427841
34;879.144897;642.252258;153.092422
35;878.297424;642.223083;153.631836
36;877.673462;642.122192;154.563507
37;876.624634;642.083008;155.342285
38;875.447937;642.229431;156.02446
39;873.752686;642.441589;157.201263
40;872.19342;642.846863;158.294235
41;871.185791;642.60614;159.234512
42;869.263672;642.657898;159.810852
43;867.266052;642.756958;160.557098
44;865.809265;642.848755;161.442413
45;863.671509;642.851685;162.393372
46;861.468628;643.208801;163.909882
47;859.703491;643.28064;164.608246
48;856.948425;643.275146;165.2957
49;854.910767;643.737305;166.454346
50;852.756531;643.878662;167.364822
51;849.637146;644.299316;168.222336
52;847.868225;644.317993;169.201675
53;845.206726;644.693848;170.072052
54;842.792969;644.811218;170.815353
55;839.569885;644.969421;171.702133
56;837.347961;645.261169;172.647034
57;834.201477;645.88739;173.394379
58;831.669434;645.937195;174.785782
59;828.340881;646.444702;175.745743
60;825.639709;646.552368;176.399185
61;822.376709;647.009644;177.502396
62;819.099792;647.275574;178.300949
63;816.54425;647.618652;179.426636
64;812.830811;648.037903;180.368362
65;809.589111;648.30072;181.238403
66;806.518799;648.826721;181.838318
67;803.143738;649.024231;183.072174
68;799.493896;649.348511;184.065674
69;796.435425;650.021118;184.633972
70;792.698059;650.233459;185.627716
71;789.554565;650.436157;186.720459
72;785.73407;650.952087;187.299362
73;782.442017;651.25238;188.427292
74;778.697205;651.715759;189.533905
75;775.105774;652.31897;190.306458
76;772.006775;652.42627;191.179535
77;768.067505;652.912048;191.974792
78;764.63031;653.364258;192.630051
79;761.323364;653.430908;193.424271
80;757.562317;654.045349;194.259491
81;754.504272;654.671631;194.888992
82;751.239197;654.807251;195.273834
83;747.517334;655.282898;195.945984
84;744.321533;655.754578;196.175278
85;741.001404;656.12384;196.395844
86;737.892212;656.706665;197.154053
87;734.595459;656.642761;197.712326
88;731.091064;657.09198;198.163391
89;727.87439;657.41803;198.356674
90;725.142578;657.660095;198.241241
91;722.167114;657.921326;198.097137
92;719.301208;658.212036;198.172852
93;716.160278;658.383911;198.588974
94;713.135681;658.68457;198.517715
95;710.286133;658.811157;198.456329
96;707.712341;658.942505;198.285858
97;704.678467;659.212341;197.699677
98;702.385986;659.351257;197.285049
99;699.831787;659.38501;196.737488
100;697.35022;659.46344;196.759811
101;694.807617;659.322144;196.555847
102;692.206726;659.681641;196.131073
103;690.331604;659.596863;195.683212
104;688.109924;659.499573;194.91507
105;685.608887;659.728882;194.509338
106;683.781189;659.455811;193.821106
107;681.995911;659.521179;192.446304
108;679.4729;659.756775;192.337982
109;677.661682;659.333252;191.671112
110;676.024353;659.216431;190.732697
111;673.912292;659.566406;189.506485
112;672.518311;659.223022;188.961212
113;670.441223;659.12915;188.315964
114;668.837891;659.092468;187.482498
