Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;824.873047;804.207214;35.437157;962.842285;800.579895;70.788406;1196.266968;809.790161;474.976563;888.666321;742.867737;34.295853;1121.854736;856.994812;288.572632
2;824.830872;804.317749;35.473206;962.807373;800.590271;70.806488;1196.284912;810.385132;475.049988;888.699951;742.865234;34.221039;1121.793091;857.403809;288.549713
3;824.857483;804.24054;35.327961;962.904663;800.685669;70.762482;1196.40979;811.043396;475.009155;888.342896;742.755615;34.651253;1121.836792;857.693359;288.543823
4;824.939087;804.282471;35.333591;962.888;800.721069;70.748558;1196.311646;811.661499;475.119537;888.470093;742.739929;34.506329;1121.772583;858.048767;288.518829
5;824.90741;804.29657;35.412479;962.851501;800.720154;70.781052;1196.190918;812.199158;475.168213;888.669434;742.885803;34.374382;1121.790283;858.636963;288.301697
6;824.846436;804.288818;35.43821;962.831177;800.689941;70.808044;1196.064819;812.802856;475.148773;888.722534;742.967407;34.35717;1121.978882;859.929382;288.312378
7;824.856995;804.312988;35.491276;962.794434;800.697754;70.848282;1195.974243;813.42804;474.964691;888.708679;742.966675;34.375019;1122.090088;860.985107;288.037384
8;824.86145;804.350647;35.500645;962.786865;800.790588;70.859734;1195.966187;814.184875;475.018188;888.692444;743.010315;34.355583;1122.357056;860.667847;287.906921
9;824.872864;804.361694;35.408943;962.774292;800.828003;70.940559;1195.748413;814.841187;474.873108;888.988953;743.254517;34.244423;1122.685547;860.877136;287.791351
10;824.904724;804.408203;35.381306;962.75116;800.829163;70.99472;1195.608765;815.429932;474.802673;889.169373;743.432434;34.093567;1122.772095;861.42572;287.62616
11;824.852112;804.511841;35.604389;962.710266;800.774658;71.116272;1195.294922;816.02948;474.658142;889.240662;743.526855;34.101246;1123.487671;861.757996;287.132141
12;824.754944;804.51825;35.55439;962.575134;800.77356;71.240463;1195.17041;816.513;474.840912;889.173523;743.563416;34.122608;1123.990479;862.206543;286.799683
13;824.702637;804.527344;35.53223;962.428528;800.7948;71.326904;1194.82251;817.318176;474.716614;889.15271;743.545593;34.100288;1124.012085;862.877075;286.569977
14;824.719055;804.661011;35.592442;962.370667;800.846802;71.540367;1194.550537;818.045105;474.597107;888.807251;743.551147;34.742004;1123.998291;863.709106;286.783508
15;824.637695;804.7547;35.608562;962.204773;800.867798;71.698555;1194.389771;818.625366;474.566528;888.669983;743.479065;34.988281;1124.047974;864.521057;286.938995
16;824.57074;804.874146;35.675941;961.966003;800.894836;71.855995;1194.066528;819.218262;474.592957;889.060547;743.476379;34.28767;1124.270386;865.294495;287.132538
17;824.517029;804.991089;35.789543;961.710144;801.077759;72.432037;1193.818481;819.76709;474.428314;889.222168;743.523926;33.986702;1124.675415;865.967224;287.078918
18;824.390564;805.133789;35.907845;961.459656;801.115845;72.929832;1193.723877;820.407043;474.502808;889.156738;743.48938;34.009991;1125.345337;866.952515;286.808838
19;824.193054;805.417542;36.358204;961.216431;801.167847;73.286537;1193.785767;820.991821;474.370819;889.073853;743.334961;34.1096;1125.408447;868.311096;286.739807
20;823.938354;805.556091;36.63496;960.926941;801.169006;73.817879;1193.310913;821.669861;474.522583;888.981873;743.145752;34.181156;1125.959717;869.00769;286.57074
21;823.771667;805.735352;36.752583;960.418884;801.24646;74.579323;1192.858276;822.391724;474.667755;888.947632;742.669006;34.209343;1126.406372;869.6604;286.528259
22;823.644287;805.969055;36.83308;959.868896;801.383423;75.405731;1192.486206;822.971985;474.778625;889.006165;741.894836;34.442028;1126.900024;870.737915;286.690979
23;823.466858;806.385193;37.211845;959.404175;801.540588;76.323494;1192.183472;823.684143;474.896454;889.035767;741.017578;34.505836;1127.528198;871.870361;286.842712
24;823.070618;806.877502;37.921726;959.099426;801.700439;77.070274;1191.959473;824.494812;475.164978;889.244324;739.985718;34.752876;1127.882813;872.819397;286.919556
25;822.297424;807.22821;39.970661;958.776489;801.874939;77.774391;1191.909302;825.025879;475.288239;889.483276;738.468323;35.228817;1128.299561;873.484924;286.902191
26;821.272339;807.737915;42.052895;958.509949;802.124329;78.323654;1191.436157;825.66864;475.271027;889.87677;736.755615;35.909576;1128.688721;874.001282;286.678711
27;820.567383;808.067139;43.93502;958.126587;802.295776;79.259964;1190.951782;826.201599;475.311707;890.326111;735.341187;36.860596;1129.518677;875.000061;286.246704
28;820.154114;808.03363;46.658287;957.197815;802.277283;81.225349;1190.578735;826.789917;475.429901;890.652405;734.038391;38.164658;1130.847534;875.826294;285.837463
29;819.544373;807.997742;49.209579;956.290161;802.151672;82.975014;1190.382568;827.57959;475.450836;890.950134;732.714417;40.032223;1131.731934;876.549316;285.428986
30;818.44458;807.560425;52.2994;955.516479;802.22406;84.420273;1190.31543;828.330139;475.289886;891.105652;731.518799;42.244923;1132.006592;877.173706;285.457733
31;817.282043;807.207703;55.038692;954.66217;802.293945;85.515137;1190.165161;828.81781;475.227295;891.425415;729.920044;44.699383;1132.148926;877.589172;285.720551
32;816.526245;806.557678;57.80946;953.755798;802.375427;87.263535;1190.034058;829.384705;475.135437;891.670532;728.24585;47.403305;1132.297974;878.202942;285.988159
33;815.830383;806.077454;60.698673;953.006226;802.369324;89.108284;1190.022827;829.912231;475.061371;891.729614;726.67334;50.571812;1132.697021;878.904602;286.181671
34;814.675171;805.151611;63.860023;952.063232;802.163757;90.984138;1189.471558;830.694458;474.8302;892.00177;725.070068;53.353275;1133.111328;879.434082;286.202271
35;813.658386;804.147705;67.277534;951.110046;801.864014;92.777008;1189.264771;831.429077;474.834564;892.912964;723.292419;55.398052;1133.483398;879.987488;286.095306
36;812.695618;803.415527;69.852081;950.018799;801.421997;94.539482;1189.197266;832.014893;474.701324;893.576416;721.839783;58.271313;1133.781128;880.410278;286.073425
37;811.490234;802.019287;73.342316;948.574158;800.841553;97.066254;1188.905029;832.575745;474.587494;893.705566;720.353149;61.599632;1133.682007;880.896667;286.189331
38;810.431458;800.365479;76.047302;947.348999;800.537659;98.437347;1188.700073;833.104675;474.526764;894.541443;719.12616;63.211742;1133.548462;881.185974;286.343475
39;809.469849;798.730042;78.638748;946.542297;799.831543;99.726097;1188.659546;833.634766;474.449707;895.321838;716.749146;66.409645;1133.325928;881.492432;286.482819
40;807.957581;796.63501;81.735817;945.179626;799.207214;101.287483;1188.530151;834.233704;474.517426;895.546082;714.69873;69.89209;1133.057617;881.94104;286.24707
41;806.80835;794.70343;84.123459;944.013306;797.900757;103.83326;1188.388428;834.848633;474.551025;895.447693;712.818481;72.612633;1132.840698;882.153992;286.038818
42;805.492737;791.923767;86.727585;943.10614;796.753723;105.334869;1188.232178;835.328979;474.590149;895.546204;710.602844;75.402008;1132.48645;882.411255;286.056366
43;804.090942;789.885376;89.426193;942.199707;795.83374;106.189468;1187.998779;835.787415;474.500275;896.073669;708.528076;78.129745;1132.065796;882.493225;285.973389
44;802.822571;787.107422;91.701706;941.272705;794.692688;107.75811;1187.60083;836.220886;474.44519;895.977722;706.768372;81.099884;1131.627319;882.53595;285.894714
45;801.779968;784.52887;94.312576;939.75946;793.290466;109.291702;1187.046753;836.566223;474.22702;895.584656;704.870667;83.703255;1130.925659;882.458252;285.842072
46;800.603271;782.049805;95.937958;938.784302;792.02478;110.61116;1186.488892;836.964905;473.85318;895.199707;702.425049;86.543274;1130.655029;881.872864;285.801971
47;799.503235;779.26123;97.981583;937.460938;790.634399;111.90802;1186.030029;837.427673;473.547333;895.305481;700.133728;88.686737;1129.573975;881.831421;285.666443
48;797.929993;776.662292;99.919197;935.611084;788.945984;113.452705;1185.453735;837.896545;473.142761;894.484192;698.250916;91.397743;1128.318604;882.292603;285.3125
49;796.566345;774.204895;101.756172;933.912964;787.6604;115.401985;1185.067261;838.255188;472.893738;893.286865;696.6698;93.825562;1127.376587;882.26709;284.925232
50;794.99585;771.452332;103.495399;932.37323;785.907227;116.939423;1184.631958;838.705017;472.81958;893.001038;694.616089;96.064041;1126.404663;881.918335;284.478607
51;793.586182;768.918335;105.152061;930.427856;784.44574;118.201981;1184.09436;838.903992;472.663452;892.562866;692.137634;99.103951;1125.467041;881.697815;284.060638
52;791.950928;766.516052;106.538887;928.294434;782.700317;119.574921;1183.416992;839.132996;472.328857;891.857971;689.800659;101.000465;1124.673584;881.172913;283.740112
53;790.392273;763.993042;108.650452;926.811951;781.223816;120.464043;1182.263794;839.459656;471.655914;891.586487;688.601624;102.401703;1123.797485;880.70282;283.258514
54;788.558289;761.850891;109.741173;925.329163;779.122314;121.233765;1181.371094;839.648071;471.230408;890.723938;685.753845;104.886681;1122.739868;880.299683;282.912598
55;786.666443;759.450073;111.482925;923.741882;777.758179;122.483475;1180.764771;839.841309;470.845398;889.655151;683.508972;106.989311;1120.984009;879.703552;282.676575
56;785.085144;757.093262;112.353409;921.960266;775.99823;123.257057;1180.19812;840.028992;470.457153;888.283936;681.285645;109.410233;1119.614624;879.167419;282.246796
57;783.3256835;754.9837345;113.7122345;920.496704;774.555786;124.27092;1178.94812;840.312134;469.600616;886.473389;679.809265;110.997192;1118.61084;878.613953;281.723511
58;781.566223;752.874207;115.07106;918.24939;772.670837;125.733597;1177.961792;840.529907;469.011871;885.352783;677.868042;112.064369;1117.106445;877.996887;280.944977
59;779.430115;751.081238;116.536354;916.320801;771.251526;126.111725;1177.128174;840.614502;468.896332;884.219543;675.704407;114.10833;1115.595947;877.773071;280.410553
60;778.256836;749.07843;116.923332;913.987;769.524353;126.990944;1175.846191;840.778931;468.349548;883.008484;674.10907;115.216202;1114.191284;877.329285;279.800873
61;776.612732;747.169922;117.177704;912.404541;768.13147;127.36647;1174.379395;840.891052;467.734589;881.301392;673.190186;117.508522;1112.717896;876.574036;279.263702
62;774.640259;745.272156;118.600029;910.567505;766.282959;127.942894;1173.480469;841.048645;467.217621;880.193787;670.623047;118.726692;1111.430542;875.687012;278.466797
63;772.74176;743.238403;119.614326;909.626831;764.640991;128.303726;1172.800781;841.094055;466.889038;878.760742;668.5354;120.100769;1110.026855;875.07135;277.886444
64;771.684631;741.170959;119.478523;907.909363;762.890808;129.170654;1171.878906;841.16803;466.270538;878.088196;666.606689;121.188652;1107.589355;874.763367;277.845184
65;770.231567;739.096436;119.582962;906.656189;760.900513;129.068527;1170.379395;841.253723;465.492645;876.172729;665.7677;122.217773;1106.084839;874.189575;277.258575
66;768.881409;737.26947;119.988655;904.612305;759.123108;129.103134;1169.494141;841.296875;465.067596;874.828125;662.977478;123.34111;1104.725464;873.392578;276.368683
67;767.276367;735.274292;120.612648;903.572388;757.466919;129.034149;1168.66626;841.372009;464.687744;873.781128;661.929993;123.381699;1103.143921;872.760071;275.919952
68;765.723145;733.359924;121.159363;902.206238;755.822449;129.40863;1167.2052;841.59259;463.853729;872.04187;659.710693;123.813271;1100.96936;872.254761;275.530334
69;763.936462;731.421326;121.934341;900.651733;754.237122;129.270538;1165.997681;841.697632;463.623901;871.339417;657.575989;124.49157;1098.89856;871.541504;275.129303
70;762.523315;729.789856;122.370659;899.171265;752.881836;129.713257;1164.991821;841.766602;463.415466;870.042908;655.347717;125.64537;1097.3396;871.03186;274.615295
71;761.647461;727.79071;121.948654;897.140686;751.266907;129.620422;1163.75;841.890137;462.85022;868.972351;653.853821;126.242455;1096.044922;869.967346;274.394806
72;760.275391;725.862793;121.272743;896.022888;749.787048;129.365341;1162.914307;841.742676;462.288361;867.792419;651.940918;125.739609;1094.22644;869.445679;273.790527
73;759.158081;724.22406;121.278831;894.574829;748.427368;129.270828;1161.778564;841.934326;461.782959;866.562439;650.602783;126.125679;1092.507935;868.818726;273.124115
74;757.833496;722.603943;121.199936;892.851868;747.130371;129.189682;1160.475952;842.157349;461.18277;865.006775;649.251038;126.234665;1090.71814;867.768066;272.622711
75;756.52533;721.034363;120.769104;891.849304;745.818481;129.115692;1159.041382;842.20166;460.627258;863.791809;647.857971;125.845276;1090.017822;867.002625;271.974243
76;755.78949;719.534302;120.267151;890.696411;744.332703;128.964752;1157.807617;842.360046;460.189423;863.320374;646.37793;126.32933;1088.282349;866.828003;271.304382
77;754.820374;717.828125;120.00737;889.634766;742.908386;128.308945;1156.924561;842.331665;460.270538;862.508301;645.020081;126.268417;1086.421021;866.355042;270.979492
78;753.651245;716.421936;119.887985;888.6604;741.959961;128.096283;1155.647095;842.459473;459.781616;860.942261;644.009827;126.610611;1085.073242;865.745667;270.537964
79;753.09668;715.094666;118.858315;887.240906;740.727356;127.733131;1154.382813;842.575806;458.810272;860.034729;642.497009;127.266151;1083.921265;864.928711;269.915375
80;752.032227;713.647644;118.379257;886.304871;739.620361;127.671684;1153.423218;842.468872;458.549377;859.452942;641.428528;126.777809;1082.349976;864.179443;269.551788
81;750.697754;712.384583;118.177277;885.817078;738.327698;127.077652;1152.504883;842.498962;458.5513;858.331238;640.744019;125.636162;1081.039551;863.931335;269.173859
82;749.983459;711.270996;117.946968;884.673889;736.975952;126.30941;1151.069458;842.905212;457.85022;856.845093;639.704956;126.251678;1079.509033;863.761536;268.297485
83;749.462158;709.792725;117.359634;883.806946;735.686157;125.56797;1149.779297;843.010376;457.461151;855.94574;638.237854;126.570351;1078.215088;863.316345;267.717346
84;748.324219;708.461975;116.827408;883.307983;734.61499;124.834;1148.362915;843.044983;457.598999;855.221741;637.298889;125.891731;1077.291748;862.866638;267.329529
85;747.390259;707.145447;116.255508;882.782654;733.573486;124.592072;1147.522095;843.088501;457.19342;854.175598;636.281067;124.438957;1076.164063;862.512268;266.750275
86;747.192444;705.751709;115.559418;881.6297;732.616943;124.766296;1146.547974;843.237488;456.445557;852.915833;635.000671;123.845253;1074.446655;862.187805;266.565369
87;747.174622;704.510132;114.576317;880.439697;731.53009;124.486099;1145.548584;843.38324;455.984131;852.091003;634.186401;123.249268;1072.810669;861.926208;266.353729
88;746.825928;703.016907;114.179741;879.88446;730.707458;123.997292;1144.504517;843.581909;455.899048;851.437866;633.792847;122.267387;1072.088867;861.489807;265.773438
89;746.134338;701.558228;113.981255;879.416565;729.721619;123.815407;1143.413696;843.732788;455.882019;850.262878;632.211548;120.91301;1071.557739;860.990601;265.226654
90;745.591858;700.188721;113.522942;878.821289;728.535583;123.218575;1141.990845;843.944702;455.495026;849.339294;630.852844;120.495911;1071.586792;861.0533449999999;265.192779
91;1068.84021;860.343018;264.835571;878.405823;727.802368;123.015007;1140.708496;844.207153;454.970215;848.779236;629.744202;119.628349;1071.692627;861.0542609999999;265.120331
92;1067.768677;860.636047;264.53537;877.719238;727.051086;122.881386;1140.111816;844.334351;454.616913;848.009827;628.834045;118.501366;1071.578003;861.0102549999999;265.2766419999999
93;1066.434937;860.601318;263.799042;876.806763;726.092957;122.591797;1139.559814;844.411316;454.462891;847.496033;627.782898;116.994743;1071.6956790000002;860.989564;265.21008299999994
94;1066.05481;860.115356;263.220154;876.427734;725.32428;122.233093;1138.411011;844.562012;454.281891;846.89093;626.972229;116.269958;1071.7440190000002;861.023499;265.16064399999993
95;1065.484497;859.686829;262.831848;876.520691;724.462097;121.633461;1136.946899;844.894043;453.700287;845.698059;626.234314;115.147186;1071.7932130000002;861.050598;265.10955799999994
96;1064.765015;859.410889;262.635345;876.260193;723.708008;120.810379;1136.032715;845.046509;453.51651;844.963196;625.716858;114.616928;1071.8651120000002;861.15625;265.077056
97;1063.674316;859.340332;262.093506;875.99939;723.066162;120.508263;1135.272461;845.247314;453.496765;844.677734;624.693848;113.746155;1071.8912350000005;861.157898;265.055023
98;1062.842407;859.418396;261.797943;876.02301;722.428345;120.28775;1134.469971;845.457642;453.336639;843.698242;623.772766;112.589096;1071.9152830000005;861.1770020000001;265.038635
99;1061.804199;859.607605;261.664978;875.943604;721.601257;120.063629;1133.237915;845.808838;452.812134;842.833984;623.039856;111.538918;1071.9765620000005;861.1821890000001;264.98532
100;1060.838501;859.588196;261.092194;875.741211;720.925598;119.980141;1132.241699;845.932922;452.293518;841.958618;622.572937;111.139168;1072.0239260000003;861.1976920000002;264.950865
101;1060.404053;859.315186;260.776154;875.425842;720.418518;119.889877;1131.666748;846.056396;451.931732;840.796326;622.24115;110.543335;1072.3281250000002;861.2175280000002;264.849089
102;1059.853882;859.169189;260.225586;875.136963;719.689331;119.653252;1130.936401;846.230042;451.913849;839.578552;622.122742;109.37001;1072.3076170000002;861.2202140000003;264.846434
103;1059.295532;859.136719;259.789459;874.977783;719.087158;119.325195;1129.976074;846.565979;451.754669;838.636841;621.6828;108.150581;1072.3306880000002;861.2224120000002;264.807158
104;1059.00647;859.079224;259.4935;875.283813;718.21405;118.693687;1129.087891;846.825317;451.499329;837.768372;621.284241;106.25161;1072.3225090000003;861.2384640000002;264.774534
105;1058.367676;859.257568;259.26886;875.609924;717.395996;117.975372;1128.049072;847.128296;451.186829;836.491455;621.010071;105.055206;1072.3084710000005;861.1539920000002;264.75481899999994
106;1057.735596;859.431824;259.133484;875.879883;716.692566;117.569283;1127.282471;847.379761;451.009186;835.434448;620.484436;104.544357;1072.2880850000004;861.1888430000002;264.770933
107;1057.150757;859.545898;258.989532;875.970032;716.17334;117.403481;1126.86499;847.616943;450.802032;834.649292;620.136841;103.294449;1072.3432610000004;861.1994630000003;264.720366
108;1056.480469;859.632324;258.645264;875.692627;715.830994;117.411736;1126.335693;847.914856;450.751434;833.9151;619.884155;101.709709;1072.4102770000004;861.1840820000003;264.683348
109;1055.974121;859.574097;258.394165;875.485168;715.363953;117.34465;1125.359253;848.120361;450.382721;833.050354;619.693298;100.181953;1072.3560780000005;861.1738890000004;264.728422
110;1055.475708;859.630737;258.179749;875.477722;714.862854;117.26606;1124.45459;848.46051;449.887421;832.429443;619.504333;99.653473;1072.3455800000004;861.1901850000004;264.707639
111;1054.972656;859.808899;257.757782;875.532166;714.413208;117.173828;1123.677246;848.92334;449.444672;831.694519;619.118652;99.417999;1072.4122300000004;861.2018430000003;264.703488
112;1054.62854;859.713318;257.508636;875.708069;713.987427;116.990974;1123.187378;849.117188;449.534027;831.08429;618.960449;99.151237;1072.5656720000004;861.0731810000002;264.599759
113;1054.178833;859.639709;257.406586;875.760376;713.62677;116.802734;1122.880371;849.266418;449.649719;830.580872;619.020691;98.950623;1072.4573960000002;861.0996090000002;264.666531
114;1054.102539;859.764221;257.031219;875.798035;713.357605;116.679268;1122.06897;849.613831;449.617554;830.09613;619.069763;98.801552;1072.4737540000003;861.0212390000003;264.611447
115;752.163025;674.854919;105.843582;875.680664;713.149292;116.608261;1121.424072;849.814026;449.600616;829.770081;619.125854;98.691177;1072.5856930000002;860.8541250000003;264.685483
116;752.603149;674.271667;105.724655;875.644531;712.837769;116.534531;1120.491089;850.002869;449.333221;829.525085;619.207947;98.622528;1072.3568120000002;860.9232170000002;264.628293
117;752.922668;673.863831;105.623413;875.558167;712.599121;116.134087;1119.648315;850.123657;449.031799;829.255127;619.18927;98.522934;1072.65503;860.7727040000003;264.63848599999994
118;753.117371;673.639282;105.545876;875.565247;712.457642;116.002296;1119.156372;850.334229;448.785065;829.068237;619.198914;98.420715;1072.475464;860.7666010000003;264.56036099999994
119;1053.549194;860.314758;254.787918;875.503235;712.444214;116.051338;1118.556763;850.520691;448.528076;828.904785;619.14325;98.386986;1072.337036;860.7684330000003;264.455472
120;1053.242798;860.584473;254.646591;875.466675;712.364746;116.058434;1118.030396;850.787598;448.464874;828.791077;619.050354;98.307053;1072.2259520000002;860.8378910000002;264.34917899999994
121;1053.019897;860.837769;254.579208;875.533447;712.075928;116.01342;1117.372437;851.07373;448.329102;828.623535;619.027283;98.3125;1071.9645990000004;860.9475110000002;264.26263099999994
122;1052.798584;861.058716;254.434357;875.452942;711.937256;115.967979;1116.449585;851.365845;448.105377;828.389648;619.023193;98.337074;1071.7960200000005;860.9929820000001;264.181088
123;1052.563721;861.209167;254.260147;875.481018;711.799377;116.014908;1115.907104;851.621216;447.945496;828.254944;618.938293;98.330208;1071.6019280000005;861.0460830000001;264.19207499999993
124;1052.291748;861.475952;254.05867;875.609253;711.705383;115.876984;1115.272339;851.893433;447.888489;828.069092;618.827271;98.385483;1071.5274660000005;860.977968;264.08120499999995
125;1052.228516;861.709167;253.820587;875.796509;711.58844;115.782936;1114.572021;852.113892;447.824585;827.824829;618.824402;98.452492;1071.8632820000005;860.855837;264.08035099999995
126;1052.240845;861.844482;253.490036;875.785645;711.453369;115.747421;1113.894653;852.40918;447.901337;827.373901;618.733093;98.357933;1071.6905520000005;860.8183609999999;264.15600399999994
127;1051.986328;862.122314;253.16507;875.802307;711.319763;115.814796;1113.232666;852.613892;447.86377;827.114441;618.799438;98.343216;1071.5589600000003;860.8619399999998;264.01357899999994
128;1051.708618;862.334717;252.905807;875.807617;711.212219;115.828918;1112.803101;852.773865;447.728241;826.849487;618.80188;98.250275;1071.807374000001;860.7655659999997;263.9620959999999
129;1051.564819;862.5495;252.766449;875.683716;711.193542;115.882523;1112.435059;853.012146;447.491516;826.643616;618.842896;98.260864;1071.6978770000007;860.8450949999998;263.9290759999999
130;1051.419312;862.790039;252.603729;875.663391;711.104797;115.91024;1111.609863;853.314758;447.144043;826.309204;618.927979;98.515938;1071.9434820000008;860.7962059999999;263.88113299999986
131;753.203918;672.787292;104.906776;875.256775;711.031189;116.206322;1110.817139;853.577209;447.010498;826.053589;619.029297;98.622078;1071.730714000001;861.001101;263.9684129999998
