Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;862.427612;641.160339;99.573196;880.113464;740.538147;112.148987;759.263367;692.741821;113.510841;1072.217163;891.075684;354.290649;1014.135132;907.522339;166.617432
2;862.182007;641.345947;99.336922;880.183899;740.385498;111.930023;759.253296;692.61554;113.316742;1072.309326;891.166748;354.250824;1014.102661;907.44751;166.460175
3;861.878723;641.405273;99.064827;880.20874;740.346252;111.868179;759.234924;692.495911;113.121147;1072.270386;891.198669;354.170166;1014.07959;907.432129;166.41008
4;861.19342;642.039856;97.996765;880.276001;740.204224;111.763451;759.213562;692.391907;112.955437;1072.430786;891.235962;354.128601;1014.10614;907.358765;166.366791
5;861.278564;642.466125;97.362892;880.569092;740.038086;111.506882;759.234863;692.195129;112.741905;1072.506226;891.331299;354.175751;1014.003174;907.344055;166.223755
6;861.519775;642.311523;96.796875;880.729187;739.923279;111.34877;759.201172;691.949036;112.546242;1072.507324;891.408081;354.131348;1013.942078;907.345032;166.178329
7;861.531128;641.952148;96.815964;880.74646;739.888245;111.247871;759.135986;691.738525;112.343781;1072.264648;891.576294;353.855896;1013.77356;907.338379;165.61763
8;860.861755;642.308716;96.307625;880.652466;739.81366;111.185646;759.141418;691.489929;112.02961;1072.160034;891.69989;353.727692;1013.917542;907.392517;165.119659
9;859.74231;642.661621;95.872444;880.58197;739.682922;111.119301;759.223511;691.235107;111.655434;1072.023804;891.722229;353.618866;1013.696167;907.566284;164.771027
10;859.710083;642.958069;94.942375;880.520569;739.604492;111.035461;759.244568;690.984009;111.350754;1072.077026;891.818115;353.568481;1013.532593;907.624207;164.714569
11;859.642517;643.226807;94.585144;880.577026;739.456909;110.930756;759.412415;690.74884;111.120506;1072.035278;891.893799;353.475586;1013.443054;907.631958;164.653992
12;859.429993;643.074463;94.115211;880.571045;739.328064;110.825813;759.523438;690.519775;110.865822;1071.975586;891.976074;353.449402;1013.391479;907.537048;164.504349
13;859.341736;643.211365;94.016884;880.323425;739.332214;110.92086;759.618103;690.270142;110.620461;1072.062256;892.04303;353.217285;1013.221985;907.585083;164.331268
14;859.178101;643.434082;93.701187;880.408752;739.144958;110.714767;759.64563;690.11438;110.394058;1072.076904;892.125671;353.194122;1013.05835;907.612793;164.159302
15;859.025757;643.594055;93.250809;880.437805;739.012878;110.521278;759.753113;689.820435;110.277458;1072.07373;892.111145;353.090485;1012.956055;907.607483;164.125336
16;858.687073;643.67926;92.942963;880.413757;738.900269;110.494621;759.725464;689.659058;110.043098;1072.071533;892.187866;353.055511;1012.823608;907.593628;163.977463
17;858.461243;643.587585;92.582802;880.34198;738.798584;110.443016;759.793091;689.458801;109.79348;1072.023071;892.2099;352.88501;1012.758118;907.529419;163.785309
18;857.775879;643.769897;92.114731;880.366272;738.6427;110.406525;759.887573;689.300842;109.602264;1072.000732;892.259949;352.860687;1012.705444;907.499634;163.667862
19;857.202942;643.902161;91.546638;880.259644;738.612854;110.389084;759.827759;689.056824;109.176598;1071.865723;892.273071;352.72937;1012.493042;907.40564;163.542221
20;856.906738;643.699097;91.206154;880.112793;738.545105;110.309013;759.861755;688.839111;108.995682;1071.792725;892.347595;352.65741;1012.377808;907.387939;163.444351
21;857.439209;642.565918;91.387413;880.056824;738.387817;110.271645;759.984192;688.630737;108.794899;1071.792847;892.368958;352.517242;1012.274536;907.34613;163.504471
22;857.407959;641.301086;91.445068;879.978943;738.242676;110.20607;760.211243;688.294983;108.498787;1071.722778;892.403503;352.451813;1012.202026;907.281189;163.298691
23;857.059448;640.408447;90.829964;880.256714;739.345337;110.685219;760.267273;687.966736;108.251053;1071.692383;892.414917;352.346527;1011.591309;907.517517;163.402969
24;857.038452;639.463989;90.383163;879.471741;738.401245;110.038002;760.407654;687.568665;107.692177;1071.644897;892.486145;352.251862;1011.793579;907.186584;163.279907
25;855.689941;639.970581;89.893997;879.302612;737.97644;110.234215;760.837952;687.190125;106.993752;1071.558472;892.450745;352.179565;1011.874451;907.037476;163.009903
26;853.413025;641.684143;88.835381;879.606567;737.635864;110.051506;761.236572;686.877808;106.365242;1071.553833;892.509033;352.042572;1012.03363;907.20813;162.501312
27;852.031555;643.038757;87.704971;879.201172;737.735596;110.282837;761.503357;686.677307;105.806679;1071.453491;892.533203;352.00238;1011.878052;906.982788;162.707367
28;851.555542;643.265747;86.615158;879.089661;737.317261;109.59565;761.558899;686.532837;105.104958;1071.398438;892.533203;351.90097;1011.744263;906.846802;162.931229
29;850.924805;642.266174;86.066727;879.083496;737.127197;109.37751;761.697205;686.229797;104.724167;1071.332642;892.542114;351.792572;1011.573486;906.931946;162.883301
30;849.154602;642.67157;85.615784;878.788452;737.115356;109.385773;761.757446;685.909851;104.371452;1071.327271;892.543274;351.802032;1012.102417;906.681274;162.5849
31;847.458618;643.373962;84.556091;878.411011;737.168457;109.458336;761.802368;685.588928;103.665993;1071.327148;892.467163;351.757324;1012.513245;906.353394;162.299026
