Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;1227.183472;885.304749;478.91095;837.611267;831.398987;35.859894;973.931458;830.367798;68.481277;1210.956787;917.60083;275.62674;904.65509;771.014893;33.813362
2;1227.047241;885.319519;479.019287;837.60321;831.354309;35.801861;973.891174;830.380249;68.501549;1210.894775;917.557434;275.665894;904.670593;771.116577;33.781124
3;1226.923706;885.287781;479.053864;837.665894;831.38623;35.746769;973.858948;830.384644;68.494743;1210.935669;917.535034;275.689667;904.675903;771.134033;33.76997
4;1226.642822;885.247437;479.123596;838.052368;831.413757;35.455429;973.874634;830.390137;68.53688;1210.853394;917.54541;275.761719;904.663513;771.039001;33.796215
5;1226.39917;885.245605;479.159149;837.740234;831.471619;35.686172;973.84729;830.47345;68.56179;1210.906372;917.524231;275.869476;904.663147;771.087708;33.797459
6;1226.0979;885.275024;479.149872;837.477905;831.51416;35.99778;973.905457;830.488342;68.58979;1210.898315;917.422485;275.999451;904.629822;771.137268;33.738647
7;1225.807373;885.173828;479.350739;837.540527;831.490845;35.906174;973.82489;830.499023;68.575134;1210.925659;917.337341;276.005798;904.66626;771.131165;33.764206
8;1225.51123;885.143494;479.407654;837.501648;831.497192;35.92675;973.78656;830.597778;68.670174;1210.910156;917.332336;276.056488;904.604736;771.15094;33.74194
9;1225.281006;885.156982;479.430145;837.691528;831.419983;35.840626;973.692871;830.613281;68.676842;1210.913574;917.267456;276.064514;904.563293;771.060669;33.797928
10;1225.135376;885.156006;479.451385;837.546875;831.505432;35.934658;973.636841;830.601868;68.690773;1211.014648;917.133667;276.15509;904.562805;771.101013;33.777157
11;1224.953125;885.101624;479.428009;837.461426;831.606628;36.025558;973.566589;830.591492;68.728661;1211.067749;917.101379;276.209656;904.505676;771.165649;33.711681
12;1224.637329;885.081238;479.432312;837.378052;831.580627;36.009098;973.503723;830.594421;68.792587;1211.132202;917.033508;276.144379;904.496582;771.182922;33.694298
13;1224.429321;885.058655;479.405396;837.371765;831.611572;36.014736;973.467468;830.591675;68.835533;1211.119751;917.031311;276.127838;904.447693;771.08728;33.734379
14;1224.251099;885.043701;479.384796;837.326904;831.61499;36.041519;973.380188;830.607788;68.864449;1211.208984;917.021057;276.071686;904.365417;771.131409;33.71817
15;1224.020996;885.049194;479.313385;837.27655;831.577698;36.040691;973.270996;830.505493;68.908119;1211.347412;916.992493;276.07724;904.305298;771.065125;33.704899
16;1223.811279;885.058533;479.257507;837.14502;831.531189;36.006809;973.106567;830.486023;69.034645;1211.443237;916.948547;276.01001;904.149414;771.035767;33.695957
17;1223.581787;885.003418;479.198151;837.123901;831.634399;36.042561;972.970337;830.49762;69.10289;1211.544922;917.047668;275.931091;904.046814;771.138855;33.667377
18;1223.463501;885.014404;479.094147;837.04834;831.655884;36.092133;972.944763;830.456238;68.890411;1211.632324;917.081177;275.727325;903.824524;771.132019;33.838329
19;1223.330322;884.919067;478.978455;836.943787;831.635925;36.144028;972.706604;830.446228;69.162064;1211.571533;917.275391;275.658966;903.627747;771.048767;33.595039
20;1223.120361;884.921265;478.899933;836.762268;831.697388;36.080799;972.363281;830.370361;69.610016;1211.930176;917.230103;275.639679;903.527527;771.013794;33.558346
21;1223.061768;884.886108;478.808716;836.624878;831.694702;35.988983;972.253357;830.326172;70.295395;1212.251587;917.323608;275.620667;903.042236;771.088623;33.475266
22;1222.834229;884.818909;478.76535;836.522949;831.65094;35.839897;971.80481;830.183411;70.402756;1212.478271;917.450745;275.648987;902.663513;771.155518;33.467751
23;1222.674316;884.839905;478.738892;836.454529;831.703247;35.731876;971.481506;830.124695;70.638664;1212.641968;917.503845;275.687866;902.353516;771.023743;33.488937
24;1222.453247;884.742065;478.752625;836.3927;831.720215;35.616085;970.843933;829.928223;71.451477;1212.874756;917.594482;275.857513;901.990417;770.89447;33.519581
25;1222.267578;884.698914;478.808167;836.164307;831.747925;35.604107;970.652588;829.857178;71.844269;1213.252808;917.708435;276.056763;901.688416;770.824829;33.535683
26;1221.947144;884.565186;478.790619;835.87793;831.846436;35.629726;970.467529;829.756775;72.361122;1213.434326;917.776306;276.148041;901.30072;770.765198;33.498032
27;1221.713501;884.498047;478.886658;835.711792;831.885681;35.673702;969.895447;829.532227;73.128349;1213.6073;917.878235;276.157135;900.997314;770.559326;33.514759
28;1221.465698;884.50238;479.06488;835.432251;832.023743;35.703438;969.187195;829.244812;74.321251;1213.765625;917.908752;276.371948;900.615173;770.315796;33.505203
29;1221.182739;884.44281;479.181274;835.098572;832.150574;35.746868;968.568115;829.134705;75.094963;1213.968262;917.904175;276.53186;900.325989;770.129761;33.492641
30;1220.89978;884.423523;479.229523;834.822754;832.161194;35.827835;968.259583;828.942566;75.904579;1214.177246;918.032532;276.602844;900.040833;769.743958;33.487125
31;1220.549805;884.407715;479.299194;834.321594;832.366455;35.947823;967.773865;828.699402;76.686867;1214.414429;918.097717;276.512115;899.672546;769.265747;33.524261
32;1220.350342;884.424683;479.325928;833.72876;832.52356;36.239773;967.015259;828.53064;77.931694;1214.45105;918.117126;276.691376;899.345032;768.741516;33.601418
