Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;822.585022;1063.347168;338.142792;794.138977;786.280823;93.434044;803.875488;690.381653;52.496773;774.686157;682.23822;46.818672;784.93866;992.715698;215.611893
2;822.794739;1063.437744;338.425262;794.022583;786.427917;94.037888;804.126099;690.253662;53.59095;774.387085;682.108826;48.027462;784.875305;992.801208;215.659836
3;822.951416;1063.537231;338.562256;794.090942;786.433472;94.798431;803.988037;690.123779;54.610332;774.4646;681.980103;48.830498;784.796082;992.967407;215.783051
4;823.180481;1063.71521;338.741791;793.995728;786.56604;95.234543;803.609192;690.416565;55.687325;774.598633;682.03125;49.294758;784.841187;993.165405;215.938751
5;823.388672;1064.029297;338.961426;794.112061;786.515869;95.802643;803.614136;690.226868;56.295246;774.672058;682.281433;50.328602;784.839844;993.374634;216.110458
6;823.60321;1064.308838;339.091248;794.368774;786.641296;96.47258;803.823914;689.858704;57.213379;774.634705;682.258728;51.352268;784.86499;993.581726;216.336929
7;823.796204;1064.605957;339.107483;794.669617;786.812073;97.205971;803.884155;689.752075;58.172474;774.462524;681.999207;52.529625;784.999268;994.008179;216.518829
8;824.048584;1065.010254;339.269104;794.679932;787.088135;97.928459;804.011047;690.02832;59.543926;774.633667;682.02417;53.887444;785.120483;994.548523;216.816818
9;824.368652;1065.571289;339.363464;794.693176;787.284485;99.110985;803.693665;690.265015;61.3629;774.590576;682.067993;55.209553;785.080017;994.997009;217.400589
10;824.645874;1066.049316;339.639557;794.931519;787.485291;100.642754;803.782593;689.928528;62.817047;774.577454;682.198303;57.008827;785.104736;995.577026;218.013519
11;824.757568;1066.560913;339.889038;795.195068;787.409729;102.184052;804.276978;689.717896;64.225288;774.653442;682.161438;58.50745;785.319519;996.352661;218.546844
12;824.558167;1067.159302;340.199493;795.73584;787.440857;102.982727;804.062378;690.161133;65.903244;774.988342;682.299438;60.630085;785.575073;996.941162;218.953003
13;824.646851;1067.897217;340.420502;795.604187;787.832764;104.261948;803.917664;690.257019;68.04483;774.751038;682.477356;62.877571;785.783691;997.580017;219.402802
14;824.919373;1068.750366;340.999268;795.835388;788.140625;106.459503;804.456604;690.076843;70.071304;775.13324;682.549133;64.457726;785.661865;998.5448;219.865982
15;825.188477;1069.537231;341.800629;796.210571;788.271118;108.14341;804.116028;690.813049;72.016121;775.345459;682.90387;66.865433;785.950134;999.561707;220.169846
16;825.334473;1070.38855;341.955841;796.022766;788.798767;109.557838;804.450745;690.705322;74.763672;774.7677;683.027039;69.928169;786.031982;1000.478577;220.750671
17;825.723572;1071.477661;341.999786;796.365234;789.444824;111.884262;804.782898;691.074646;76.847488;775.021667;683.150879;72.568649;785.854065;1001.707764;221.366287
18;826.071472;1072.542847;342.463074;796.497925;790.140076;113.813835;804.978882;691.242493;79.935707;775.26355;683.392029;74.520096;785.456726;1002.808716;222.186829
19;826.272339;1073.543091;343.137329;796.503174;790.77179;115.585403;804.940735;692.095093;82.157845;775.478455;683.878296;77.589516;785.360229;1003.845764;222.672562
20;826.492126;1074.713379;343.881256;796.557861;791.136902;118.12114;805.084534;692.169495;84.841606;775.467529;684.142029;80.525719;785.216736;1005.296143;223.535767
21;826.603394;1076.112915;344.227661;796.431396;791.534729;120.248528;804.938232;693.161865;87.321762;776.112488;684.451111;82.922493;785.148254;1006.721619;224.196762
22;826.967407;1077.378784;344.400848;796.552185;792.471436;122.576286;805.301697;692.820923;90.21566;776.078552;685.151001;85.644348;785.143982;1008.108459;224.812759
23;827.175415;1078.800171;345.224426;796.63501;793.46637;125.40126;805.243713;693.791016;93.615509;776.548035;685.703918;88.597824;785.220398;1009.774658;225.549149
24;827.360229;1080.034912;345.796326;796.431396;794.264404;127.131706;804.488281;694.411133;96.416367;776.392151;686.302002;91.245323;785.177673;1011.328064;225.987915
25;827.231323;1081.437744;346.779205;796.406921;795.044373;130.465942;804.792114;696.03064;99.10939;775.838928;686.863403;95.399918;785.303589;1013.255432;226.74234
26;827.453857;1083.305298;347.316284;796.078552;796.070801;132.719772;805.193542;696.18396;102.812225;776.043274;687.623779;98.302643;785.399658;1014.848328;227.553879
27;827.653564;1084.891846;347.849518;795.730957;797.306702;135.268265;805.678406;696.546448;106.240829;776.24762;688.756653;101.059494;785.565369;1016.666321;227.798721
28;828.05603;1086.664917;348.11969;795.523743;798.501221;138.173523;805.169556;697.504822;109.703209;775.750671;689.593262;104.473511;785.140991;1018.421936;228.488892
29;828.425415;1088.314819;348.253784;795.179199;799.609619;140.412292;804.278442;699.319031;112.783272;775.626709;690.498535;107.800636;784.416199;1020.617126;229.389923
30;828.225647;1090.125366;349.013885;794.911743;800.889709;143.506287;803.850891;700.377686;116.100533;774.742493;692.1297;111.486679;783.685791;1022.785889;230.2883
31;827.864136;1091.810181;350.102478;794.241394;802.542969;146.572861;803.40979;701.607788;119.469063;774.454895;692.994446;114.577209;783.653687;1024.799194;230.702347
