Frame;1_X;1_Y;1_Z
1;857.411316;652.965332;108.14875
2;857.351685;653.083557;108.216583
3;857.207947;653.226501;108.31424
4;857.028748;653.339355;108.426582
5;856.882935;653.555176;108.531708
6;856.764465;653.935364;108.518463
7;856.695618;654.3125;108.546753
8;856.601624;654.586426;108.997124
9;856.564575;654.76886;109.852135
10;856.358704;655.106079;110.401932
11;856.070618;655.517456;111.337502
12;855.881531;655.975769;111.967285
13;855.723755;656.363037;112.448952
14;855.537842;656.638733;112.929573
15;855.051147;657.256226;113.713097
16;854.268738;658.173889;114.952347
17;853.397156;659.207031;116.117622
18;852.762146;659.983215;116.840782
19;851.795776;660.700378;117.903687
20;850.72821;661.862793;119.636185
21;849.392883;662.997559;121.290604
22;847.931885;664.177124;122.497765
23;846.430786;665.452637;123.310684
24;844.932129;666.898682;124.829422
25;843.416382;668.111023;126.352509
26;841.432678;669.272766;127.56176
27;839.23291;671.015686;129.450089
28;837.017029;672.496948;130.748932
29;834.66626;674.435608;131.81282
30;831.893799;676.192566;133.827881
31;828.975464;678.31604;135.347809
32;825.612305;680.550598;137.22995
33;822.208557;682.781311;138.79892
34;818.825867;684.969421;140.247055
35;815.058594;687.476318;142.22226
36;811.308289;689.946777;143.724304
37;807.369995;692.266602;145.916412
38;802.899719;695.148987;147.720596
39;798.866333;697.559937;149.172424
40;794.584595;700.29187;150.4104
41;790.103577;703.123779;152.039948
42;785.297729;705.835876;153.729401
43;780.450806;708.667114;155.731628
44;775.884888;711.58728;156.741501
45;771.138367;714.71051;157.821884
46;766.279724;717.491028;159.442368
47;761.105408;720.36438;161.398453
48;755.89624;723.411011;162.545822
49;751.529663;726.113098;163.696701
50;746.294739;729.196655;164.857513
51;741.092468;732.044434;165.946472
52;735.995056;735.327393;166.910919
53;731.022156;738.454651;167.289597
54;726.25824;741.345215;168.190018
55;721.132935;744.113342;169.427567
56;715.552673;747.417725;169.964401
57;710.627686;750.709045;169.793488
58;705.788879;753.791809;170.430862
59;700.561646;756.575867;171.128387
60;695.847961;759.691406;170.790695
61;691.131531;762.785645;170.999146
62;686.209534;766.0802;171.159424
63;681.332336;768.791992;171.208252
64;677.174072;771.852112;170.501862
65;672.638184;774.669495;170.387756
66;667.822571;777.50116;170.147995
67;663.005371;780.650146;169.769318
68;658.735718;783.278381;169.341324
69;654.246887;785.957458;168.762375
70;650.015381;788.684753;168.021332
71;645.997498;791.409485;167.54892
72;641.723206;794.132751;167.255585
73;637.490906;796.909485;166.770599
74;633.500916;799.285217;166.499069
75;629.106445;801.887146;165.65036
76;625.684448;804.391479;165.259537
77;621.763977;806.769897;164.0905
78;618.410645;809.342896;162.810318
79;614.899841;811.616516;161.950012
80;611.476929;813.776367;161.018066
81;608.110046;815.993774;160.164383
82;604.882568;817.992981;159.248184
83;601.487183;820.053833;157.776886
84;598.643188;821.709778;157.030685
85;595.318298;823.494873;155.730911
86;592.516907;825.19458;155.156998
87;589.706726;827.014343;153.857071
88;587.388062;828.278076;153.015823
89;584.387024;829.480408;152.984482
90;581.954712;831.29834;151.233887
91;579.965393;832.589661;150.327728
92;577.622131;834.024658;149.579346
93;575.338989;835.141724;148.177994
94;573.707825;836.352234;146.665726
95;572.189697;837.279907;145.89801
96;570.23999;838.405701;144.567429
97;568.566833;839.381348;143.368896
98;567.05957;839.760315;142.323334
99;565.247864;840.337646;142.088287
100;563.865479;841.429138;140.965149
101;562.522095;842.601624;139.204773
102;561.252869;843.447998;138.275146
103;559.842529;843.775024;137.735565
104;558.424866;844.189087;137.225494
105;556.673279;844.836426;136.220413
106;555.670715;845.76709;134.906921
107;555.007446;846.132751;134.456558
108;553.726196;846.654846;133.591446
109;552.692627;846.997314;132.903992
110;551.477417;847.579468;131.715302
111;550.451599;847.987854;130.720779
112;549.560242;848.498169;129.689499
113;548.356995;848.903015;128.845322
114;547.446228;849.265137;128.622437
115;546.601257;849.636719;128.142929
116;545.852356;850.088074;127.247612
117;545.160583;850.587585;125.883858
118;544.490601;850.838684;125.019554
119;543.553772;851.122681;124.046555
120;542.785522;851.564697;122.887672
121;542.172668;851.825623;122.050812
122;541.373352;852.059998;121.588081
