Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;447.515106;732.752808;60.615604;549.778198;650.709473;25.823685;239.124207;724.511719;253.480133;132.150848;818.363892;471.029205;537.810059;742.82428;23.087643
2;448.31543;732.296265;62.000252;550.435486;650.664368;26.466873;238.184875;724.505371;253.165405;132.190353;818.514832;471.158417;538.132507;742.867798;23.214216
3;448.640442;731.953491;63.60714;550.906921;650.621033;27.591778;236.334503;724.449402;253.223419;132.144165;818.620056;471.50885;538.60022;742.988098;23.62438
4;449.263245;731.468445;65.852394;551.506226;650.561951;28.647644;234.781326;724.603149;253.576263;132.214828;818.766418;471.681213;539.490234;743.218994;24.335361
5;449.516052;730.832581;67.709839;552.712036;650.372375;31.014507;233.170486;724.86499;253.370499;132.362808;818.987122;471.911255;539.959717;743.484802;24.801565
6;450.28717;730.272461;70.770889;553.428711;650.083313;33.216393;231.611664;725.226074;253.619339;132.410706;819.241272;472.244629;540.268311;743.557007;25.734604
7;450.649567;729.806091;72.924484;553.967834;649.714172;36.814156;229.489914;725.500122;253.749695;132.588348;819.424988;472.586639;541.125671;743.332642;27.669207
8;451.122101;729.2724;76.218849;554.637451;649.13324;40.896919;227.731232;725.872192;253.784302;132.737488;819.745728;472.968536;541.551819;742.845581;29.762558
9;451.188171;728.83606;79.903473;555.261841;648.394592;44.718372;225.631943;726.369751;253.803543;132.817795;820.066956;473.39032;542.240601;742.190674;32.317078
10;451.26767;728.27478;83.206253;555.575989;647.519287;49.109741;223.151825;726.816467;254.450653;132.882614;820.452209;473.789307;542.721252;741.183228;35.494675
11;451.58078;727.739197;87.159447;555.871094;646.64447;54.313824;220.888138;727.391907;254.274811;132.917572;820.903076;474.063324;543.461853;739.658264;39.2542
12;451.466827;727.21167;91.45343;556.1297;645.614807;59.459839;218.458221;728.067871;254.353821;132.944016;821.374634;474.303864;544.27948;737.977966;43.860317
13;451.392578;726.704529;95.789276;556.395996;644.638062;64.773499;215.7491;728.807983;254.962479;132.889786;821.837158;474.499481;545.062317;736.418579;48.661865
14;451.29541;726.101563;100.591927;556.518372;643.672119;70.922447;213.062515;729.65387;255.098083;132.643509;822.356201;474.860443;545.54718;734.405151;53.81427
15;450.958649;725.1922;105.094505;556.377869;642.52832;77.769409;209.836761;730.499207;255.417679;132.219513;823.018677;475.26828;545.937805;732.443787;59.509205
