Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;964.310913;745.1521;252.417313;768.98407;482.466522;30.166916;845.101379;462.25238;31.029058;890.201233;544.763123;63.784595;1041.915649;819.523254;402.709473
2;964.633362;745.068237;252.302124;768.927734;482.461029;30.133896;845.048462;462.2323;31.104637;890.237244;544.76593;63.758675;1042.841309;819.469666;401.889618
3;964.868774;745.048584;252.248428;768.924988;482.467865;30.138809;845.039307;462.224274;31.11974;890.257935;544.774109;63.763226;1042.649048;819.493713;402.194733
4;964.694946;745.119812;252.267685;768.928955;482.469513;30.142399;845.042114;462.317932;31.079609;890.230896;544.776733;63.790768;1042.42334;819.509094;402.529785
5;964.779663;745.130798;252.597839;768.924988;482.561188;30.108706;845.084412;462.294403;31.065475;890.228271;544.753296;63.750641;1042.489502;819.524292;402.59024
6;965.02063;745.070068;252.669205;768.963074;482.468231;30.109993;845.094116;462.268829;31.072889;890.252563;544.769531;63.763329;1043.10022;819.445679;402.430634
7;965.256409;745.100586;252.580643;768.984253;482.558319;30.194149;845.090149;462.262177;31.079861;890.270264;544.853149;63.799496;1043.39856;819.604797;402.292358
8;965.560791;745.117798;252.577972;768.975281;482.574829;30.200047;845.09552;462.33194;31.057529;890.285339;544.837769;63.736752;1044.204712;819.460388;402.079498
9;965.792542;745.171265;252.545944;769.005188;482.570953;30.079065;845.099548;462.361115;31.040483;890.294495;544.853088;63.772949;1044.67334;819.509094;401.913971
10;965.930664;745.299377;252.499817;769.03241;482.576691;30.234165;845.046204;462.274017;31.117434;890.325745;544.84613;63.922394;1045.070801;819.599121;401.936005
11;966.150452;745.385742;252.461487;769.099548;482.623291;30.21233;845.079895;462.313263;31.081766;890.367554;544.845642;64.005272;1045.33606;819.697754;401.941132
