Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;826.799622;835.868103;56.497086;963.462524;820.763672;64.760452;1152.156982;806.195129;223.844025;1166.798584;724.303345;439.945557;;;
2;827.372742;837.04187;59.985695;963.421326;820.930908;66.399551;1152.584961;806.48822;224.205765;1166.657715;724.355652;439.925415;;;
3;827.371643;837.934692;62.880756;963.273865;820.951477;67.704285;1153.316528;806.572998;224.50293;1166.468872;724.405701;439.925354;;;
4;827.356445;838.671326;66.667969;963.289246;820.427246;69.511047;1154.4104;806.5979;224.358032;1166.315063;724.458496;439.924408;;;
5;827.752258;840.030334;69.791595;963.053711;820.052368;71.631775;1155.238159;806.522949;224.289413;1166.144409;724.598938;439.974792;;;
6;827.548706;841.429382;73.732498;962.930786;819.448608;73.704468;1156.205322;806.276733;224.28273;1165.835449;724.732178;439.866669;;;
7;827.575623;841.869568;77.746887;962.866882;818.690796;76.165527;1156.813843;806.24939;224.446838;1165.80481;724.835754;439.592133;;;
8;827.830811;843.064331;81.467125;962.645508;817.630432;78.542671;1157.454712;806.163452;224.667328;1165.953491;724.998413;439.597046;;;
9;827.469482;843.791199;85.48468;962.493103;816.432861;81.157593;1158.220947;805.971558;225.21489;1165.74353;725.076965;439.534424;;;
10;827.797791;844.010742;89.758064;962.177063;815.196289;83.773445;1158.821899;805.674744;225.363007;1165.678101;725.179932;439.525055;;;
11;827.906921;843.934326;93.592865;961.569031;813.764282;86.457855;1159.800293;805.164001;225.160446;1165.607178;725.353455;439.376923;;;
12;827.524597;843.396362;97.759789;961.254822;812.157715;89.620476;1160.625366;804.432007;224.916626;1165.679321;725.448547;439.504364;871.822937;759.671143;91.211311
13;827.062012;842.367676;101.928986;960.614868;810.508057;92.2491;1161.123779;803.765076;225.437851;1166.047852;725.567566;439.61264;871.273132;757.475342;96.29702
14;826.664551;840.896057;105.967583;960.23468;808.349487;95.328651;1161.613159;803.09259;225.740494;1166.285645;725.696594;439.654633;871.060791;755.459167;100.647713
15;826.330139;839.060608;109.918404;959.16626;806.776367;98.556854;1162.137085;802.378174;225.915451;1166.497314;725.800354;439.68515;870.648254;753.308472;105.842735
16;825.91803;836.950317;114.106895;958.333618;804.631714;101.498695;1162.932007;801.742615;225.983017;1166.697754;725.927551;439.699493;870.050232;751.004639;110.785599
17;824.913635;834.607605;118.704536;957.665588;802.471191;104.408615;1163.331543;801.089355;226.077957;1166.942383;726.019836;439.664398;869.449646;748.434937;115.182549
18;823.863647;831.938293;122.884102;956.762268;800.117004;107.49308;1163.567871;800.314148;226.113556;1167.141479;726.039917;439.539398;868.928955;746.164734;119.546883
19;822.869385;828.932129;127.517822;955.905273;798.088318;110.648636;1163.578247;799.471069;226.130539;1167.365967;726.137146;439.471497;868.735596;743.331299;123.828896
20;821.852966;825.925049;131.51738;954.692383;795.432373;113.186111;1163.527222;798.64325;226.141724;1167.650635;726.182251;439.351898;868.64093;740.43573;127.972862
21;820.914673;822.804504;135.493454;954.035645;793.164185;116.552704;1163.567383;798.212341;226.26593;1167.865723;726.265869;439.288788;868.097778;737.592224;132.568909
22;819.999756;819.556519;139.411545;952.736206;790.660767;119.651268;1163.30188;797.668762;226.397903;1168.084106;726.323364;439.142456;867.584778;734.135803;136.379608
23;818.540649;816.11676;143.102417;951.918884;788.175415;121.985977;1163.025513;796.969299;226.347153;1168.248047;726.320007;439.011688;866.868408;730.389465;140.414993
24;817.655701;812.621582;146.785568;950.855347;785.848572;125.243576;1162.832764;796.205139;226.214584;1168.473145;726.343872;439.015869;866.871948;726.638428;144.096466
25;816.33667;809.125122;150.540222;949.604431;783.012024;128.109116;1162.708374;795.564209;226.365463;1168.645752;726.381348;438.926086;866.538635;722.668274;146.88266
26;814.583801;805.556763;154.047409;948.250427;780.637207;130.595001;1162.043335;794.908508;226.627121;1168.716675;726.382568;438.850403;866.298828;718.425537;149.902405
27;813.248291;801.995911;157.120331;947.443176;778.303223;133.536011;1161.219727;794.503418;226.958939;1168.741577;726.386292;438.827637;866.177246;714.037231;152.678787
28;811.813721;798.49884;159.533539;945.95282;775.47937;136.194138;1160.745483;794.114075;227.113251;1168.754395;726.398193;438.811035;865.678406;709.374084;155.355759
29;810.158142;794.858582;162.162216;944.803345;773.350464;138.174103;1160.045654;793.476807;226.802124;1168.800049;726.358276;438.857117;865.070679;706.281311;156.75386
30;808.386719;790.982178;165.062592;943.431519;770.637939;140.771225;1159.25293;792.62738;226.773819;1168.766357;726.348389;438.708801;865.788452;701.028137;159.22998
31;806.847717;787.225708;167.031036;942.042236;768.313843;143.502213;1158.394531;792.301758;226.866699;1168.719971;726.29425;438.650818;865.821472;696.356873;161.313461
