Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;961.715454;855.325439;72.241226;829.866089;851.267029;36.492779;891.963074;791.627991;33.624821;1199.104614;907.652649;405.160828;1184.306519;948.674866;199.545624
2;961.329529;854.779663;73.899284;829.818848;851.317566;37.091042;891.728271;791.031494;33.812164;1198.869629;907.66864;405.2099;1184.431885;948.472107;199.552368
3;960.705688;854.463196;75.214554;829.519165;851.12146;37.943535;891.471313;790.43396;34.141502;1198.664917;907.654114;405.260193;1184.527466;948.351563;199.60231
4;960.372009;854.132629;75.970703;829.405579;850.876038;38.708637;891.271179;789.549744;34.662861;1198.427856;907.682434;405.184692;1184.602783;948.240051;199.544464
5;960.434082;853.775208;76.446274;829.379883;850.596985;40.253647;891.104187;788.604431;35.461071;1198.207764;907.610779;405.100128;1184.615479;948.087585;199.508286
6;960.453979;853.176819;77.800201;828.713806;850.067505;42.96933;890.659973;787.697144;36.891861;1197.975098;907.613953;405.135345;1184.645142;947.902649;199.399277
7;960.106689;852.675537;78.970314;827.832886;849.378296;45.142952;890.030762;786.692566;38.784744;1197.771118;907.629272;405.112976;1184.725098;947.701538;199.294098
8;959.530701;852.385864;79.852028;827.656311;848.61438;47.724617;889.698914;785.430542;41.001511;1197.572021;907.48938;405.103333;1184.716309;947.469055;199.256638
9;959.535767;851.951843;80.603882;827.410522;847.766968;49.982788;889.562561;784.060669;42.810982;1197.403931;907.407227;405.002563;1184.695435;947.239807;199.116318
10;959.60083;851.25061;81.521935;826.905273;846.640869;52.846817;889.622314;782.899353;44.235836;1197.27356;907.343933;404.911194;1184.640625;946.896423;199.045349
11;959.2005;850.030273;83.044685;826.190918;845.393066;55.232349;889.559509;781.582947;46.021912;1196.966675;907.26886;404.734528;1184.503906;946.638367;198.955093
12;958.73877;848.7677;84.612137;825.44696;843.579651;57.796993;889.377991;780.013794;48.357437;1196.708862;907.203674;404.680634;1184.314331;946.2771;198.885986
13;958.381653;847.87323;85.943283;825.274475;842.26178;60.096397;888.98999;778.193176;50.288403;1196.459473;907.133789;404.718933;1184.107544;946.019775;198.739899
14;957.901184;846.993835;87.294258;825.117676;840.582642;62.363403;889.054565;775.946472;52.159588;1196.175415;907.050171;404.651123;1183.980225;945.720764;198.672806
15;957.552185;845.539734;88.261948;824.719055;838.446289;64.649277;889.475037;773.786011;53.616322;1195.910645;906.979431;404.662262;1183.710938;945.390686;198.399918
16;957.420166;844.14624;89.040085;823.743591;836.354309;66.236916;890.02124;771.53302;55.023636;1195.731079;906.892761;404.628265;1183.306274;945.155701;198.096283
17;957.003052;842.808899;90.226364;823.46051;833.893555;68.628571;890.348206;769.201904;56.607864;1195.388916;906.809082;404.483551;1182.968384;944.87677;197.773407
18;956.691223;841.134827;91.545944;;;;890.593384;766.592651;58.5895;1195.11731;906.733459;404.351471;1182.684692;944.418457;197.573959
19;956.470459;839.513977;92.692116;821.934998;829.124573;73.525917;890.681213;763.991943;60.544151;1194.825806;906.573853;404.334259;1182.328491;943.909912;197.311798
20;956.008484;838.061035;94.001678;822.050049;826.402222;75.112854;891.294922;761.324463;62.511978;1194.455566;906.423645;404.079803;1181.945313;943.484314;197.123352
21;955.312561;836.159363;95.368446;821.309143;823.605774;77.02317;891.92981;758.527832;64.432816;1194.032715;906.31073;403.654633;1181.277954;942.86438;197.013336
22;954.818298;834.506287;96.682686;820.80658;820.847778;79.210861;892.348145;755.538147;67.01548;1193.599976;906.102478;403.531036;1180.534058;942.335815;196.925385
23;954.305908;832.562927;97.75898;820.256104;817.978638;80.633453;892.595276;752.687012;68.54068;1193.099487;905.770508;403.424713;1179.687744;942.00769;197.032608
24;953.612549;830.591003;99.114182;819.497986;814.950073;82.600983;892.873535;749.735352;70.511902;1192.645996;905.560303;403.308044;1178.858521;941.657593;197.097702
25;952.999084;828.573059;100.231529;819.179199;812.312073;84.397545;893.103027;747.056213;72.33773;1192.219238;905.403564;403.012268;1177.76416;941.282471;196.733673
26;952.595215;826.834961;100.965225;818.390503;809.286255;86.227303;893.456238;744.30072;74.241348;1191.737671;905.181458;402.809265;1176.80603;940.626221;196.436737
27;951.547424;824.617554;102.104645;817.760498;806.593384;88.388771;893.494019;741.067139;76.690231;1191.295044;905.034973;402.676605;1176.046753;940.051392;195.983063
28;950.7995;822.690125;103.204025;817.087341;803.906128;90.071899;893.146179;738.32843;78.745026;1190.975464;904.831543;402.516693;1175.361694;939.433899;195.51828
