Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;860.495911;824.70459;44.417015;928.949707;898.095276;69.45845;794.521667;887.374268;36.289639;1133.136108;975.895996;368.684143;1115.342896;1016.140808;220.517151
2;860.753784;823.89325;46.291718;928.434021;897.871338;70.755844;794.262268;887.93335;36.798092;1133.113281;975.826355;368.723145;1115.335571;1016.365356;220.673157
3;861.266235;822.844116;48.633232;927.95697;897.833252;71.927071;793.899414;888.464355;37.263203;1133.028687;975.828369;368.964172;1115.243408;1016.578918;220.817001
4;861.356506;822.112549;50.605579;927.516846;897.875305;72.807465;793.326965;889.334351;38.028069;1132.632935;975.816162;369.068939;1115.173706;1016.693481;221.025436
5;861.571472;821.413025;52.909908;927.465393;897.892822;73.624031;792.116516;890.650574;39.352646;1132.269165;975.546448;369.458649;1115.065186;1016.931396;221.208282
6;861.645508;820.778137;55.23278;927.006226;897.623169;74.594444;791.96991;891.1828;40.615612;1131.823486;975.575073;369.673279;1115.051025;1017.115356;221.429184
7;861.762573;819.794006;57.519695;926.594116;897.496765;75.956436;791.711426;891.649597;42.308144;1131.399048;975.611511;369.781433;1114.901978;1017.195496;221.643143
8;862.297241;818.769592;60.067333;926.278381;897.431885;77.054741;791.075256;892.206421;43.921894;1131.09375;975.535034;369.899658;1114.599243;1017.34021;221.874557
9;862.049133;818.054321;62.434216;925.748718;897.278015;78.198494;790.14917;892.944153;45.415638;1130.697144;975.463257;369.910767;1114.396362;1017.26825;222.429688
10;862.612854;816.795166;65.643066;925.221497;896.884277;79.79644;789.837646;892.880981;47.844772;1130.467651;975.534729;369.982544;1114.242676;1017.309326;222.76767
11;862.678955;815.927673;67.843567;924.920044;896.427307;81.810982;788.471741;893.040283;50.332897;1129.793091;975.682434;370.117767;1114.076416;1017.481934;222.912704
12;862.421875;814.727539;71.005035;924.327637;895.98053;83.36515;788.143494;892.349609;51.818512;1129.179321;975.725098;370.263916;1113.932373;1017.581909;223.048523
13;863.097046;813.676697;73.755829;923.484253;895.775696;84.907043;787.022705;891.802002;54.863171;1129.002075;975.799805;370.488525;1113.794922;1017.679443;223.293518
14;862.867676;812.831665;76.688141;922.820618;895.099304;86.449448;786.707825;890.774475;56.637665;1128.876343;975.807373;370.532318;1113.117188;1018.044617;223.733459
15;863.617798;811.357178;79.980247;922.524048;894.363708;87.830292;785.591064;890.06665;58.627453;1128.63501;975.86969;370.637695;1112.472168;1018.08136;224.408829
16;864.073853;810.232666;82.36953;922.034912;893.622986;89.204918;784.493835;889.276306;61.634216;1128.296387;975.957031;370.585724;1112.00293;1018.254211;224.610718
17;864.175781;808.905518;85.200333;921.283508;892.604248;91.394287;783.801514;888.139404;63.741508;1128.147583;975.883484;370.655884;1111.609253;1018.409729;224.77005
18;865.005249;807.659973;88.118813;920.435791;891.890625;92.799362;783.205566;886.668457;65.319992;1127.977417;975.840149;370.774628;1111.20813;1018.470581;225.347488
19;865.571655;805.849792;90.658562;919.898376;891.025818;94.539024;782.651245;885.447021;67.191956;1127.684937;975.856934;370.962067;1110.633423;1018.476257;225.713943
20;865.961548;804.019714;92.655327;919.402832;890.073486;96.188896;782.043091;884.006226;69.547012;1127.181152;975.885742;371.174469;1109.942993;1018.549805;226.094131
21;866.372375;802.842102;95.545639;918.561279;888.950989;97.688187;781.518311;882.373779;71.418724;1126.427979;975.817749;371.524414;1109.212769;1018.374573;226.866119
22;866.599792;801.323486;98.075974;917.888977;887.627014;99.671593;781.486755;880.432922;73.092651;1125.762695;975.725159;371.540314;;;
23;867.190002;799.382568;100.761162;917.466858;886.554688;100.985924;780.712158;878.358826;75.276848;1125.598145;975.717529;371.632904;1108.408936;1018.146973;227.225845
24;867.581787;797.959717;103.365906;916.433289;885.196716;102.575012;779.865967;876.415466;77.513855;1125.381348;975.54071;371.70993;1106.915283;1018.198059;227.773651
25;867.973816;795.920532;105.361801;915.531006;883.656494;104.58036;779.184814;874.275208;79.991676;1124.880249;975.471313;371.616638;1105.709961;1018.118652;228.115372
26;868.917114;793.703125;108.187668;914.668701;882.499207;106.118614;778.312134;872.271545;81.894028;1124.325195;975.345764;371.666504;1104.961548;1018.058594;228.238724
27;869.05603;791.972656;110.611862;914.416565;880.823242;107.971832;777.352295;869.598022;83.8666;1123.970947;975.126831;371.883514;1104.336914;1017.901733;228.30455
28;869.848083;789.891785;112.747063;913.975037;879.001526;109.413742;777.316772;866.539551;85.976051;1123.781128;974.75824;372.168396;1103.735352;1017.393738;228.790161
29;870.560181;787.518066;115.157692;913.291443;877.327759;110.937477;777.060059;863.731506;87.144966;1123.146973;974.646667;372.317139;1102.454346;1017.176758;229.165039
