Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;896.16748;512.074829;61.448948;765.174622;464.240814;31.624178;859.354797;426.30838;31.765427;968.4552;707.550781;258.289612;1013.28009;737.863159;437.578766
2;896.18866;511.959534;61.528923;765.174622;464.240814;31.624178;859.024536;425.948395;31.828667;968.652161;707.381714;257.96286;1013.291992;737.802002;437.609253
3;896.177063;512.039612;61.576778;765.175415;464.256622;31.649204;859.31604;426.175568;31.847898;968.705322;707.335876;257.864746;1013.230164;737.853821;437.582581
4;896.149048;511.993896;61.493729;765.138367;464.163605;31.69503;859.426025;426.295837;31.830336;968.646606;707.366455;257.935211;1013.219604;737.83136;437.542694
5;896.111023;511.993347;61.42083;765.15271;464.248169;31.708822;859.375732;426.356049;31.777458;968.61853;707.362366;257.826904;1013.138062;737.813477;437.58844
6;896.15741;512.000793;61.537235;765.159668;464.259338;31.670624;859.384827;426.336212;31.770149;968.593262;707.344666;257.914734;1013.09967;737.728149;437.607971
7;896.152771;512.061279;61.484344;765.159973;464.268921;31.687668;859.380249;426.348907;31.788387;968.503967;707.362915;257.920868;1013.10614;737.795898;437.612762
8;896.114014;512.014709;61.419071;765.159241;464.253571;31.669519;859.37561;426.312042;31.846703;968.489929;707.379395;257.890594;1012.97345;737.730896;437.609253
9;896.463257;511.838989;61.026752;765.171326;464.25531;31.655172;859.439697;426.336273;31.783611;968.475708;707.465515;257.904358;1012.908264;737.705078;437.585999
10;896.240784;511.975342;61.27343;765.17572;464.258118;31.651058;859.376099;426.304565;31.78521;968.520508;707.404968;257.861511;1012.912964;737.717346;437.626648
11;896.078064;512.019287;61.470402;765.149841;464.167969;31.684044;859.362488;426.277863;31.772192;968.489258;707.416504;257.844757;1012.799683;737.761597;437.605408
12;896.067627;512.025696;61.577667;765.132507;464.127686;31.68162;859.355957;426.306702;31.776609;968.39502;707.418884;257.818756;1012.861694;737.680298;437.642517
13;896.089539;511.997894;61.464722;765.161316;464.236694;31.667452;859.343567;426.327118;31.809448;968.376953;707.44519;257.817474;1012.852661;737.707825;437.613068
14;896.107849;512.02179;61.522408;765.17627;464.252228;31.625202;859.415466;426.31192;31.745705;968.341492;707.455078;257.866455;1012.859192;737.683411;437.561554
15;896.133118;511.996735;61.578003;765.154236;464.154449;31.647152;859.406555;426.343353;31.74028;968.292786;707.45575;257.893707;1012.828308;737.662476;437.567474
16;896.082825;512.006409;61.543377;765.089844;464.140106;31.624216;859.384155;426.313538;31.798878;968.396423;707.413513;257.830719;1012.795166;737.655029;437.6026
17;896.103943;512.016113;61.518478;765.080566;464.148529;31.617563;859.352234;426.329926;31.796204;968.31604;707.523621;257.848419;1012.767151;737.661865;437.620605
18;896.07135;512.023865;61.552795;765.133728;464.13916;31.663971;859.331482;426.312927;31.768705;968.380615;707.48645;257.853638;1012.613525;737.702881;437.580627
19;896.10791;512.002502;61.613464;765.142578;464.134766;31.674416;859.3396;426.322174;31.806406;968.327698;707.496399;257.900726;1013.033508;737.294983;437.651123
20;896.108154;511.982361;61.543777;765.154663;464.129089;31.638863;859.353271;426.28891;31.846552;968.639465;707.435364;257.990082;1013.107727;737.238831;437.641418
21;896.104126;512.010315;61.488621;765.183655;464.119202;31.571096;859.353333;426.324463;31.789131;968.385559;707.4729;257.842682;1013.165283;737.23645;437.605438
22;896.071777;511.989166;61.552952;765.160645;464.138916;31.636011;859.399414;426.34317;31.803934;968.57196;707.445007;258.011139;1013.035706;737.26062;437.657074
23;896.065796;511.983337;61.612003;765.130737;464.135284;31.673117;859.354614;426.330322;31.811197;968.635132;707.437134;258.045959;1013.056396;737.235168;437.662933
24;896.071106;511.995392;61.647572;765.130493;464.133728;31.68045;859.369507;426.321777;31.811289;968.61853;707.521729;258.076965;1013.090881;737.228149;437.643555
25;896.04303;511.983154;61.607868;765.12915;464.146545;31.704662;859.359314;426.314789;31.780502;968.649231;707.656433;258.096008;1013.103394;737.229614;437.633087
26;896.019592;511.97171;61.604633;765.162292;464.138275;31.657677;859.375;426.347778;31.78808;968.627441;707.786926;258.088074;1013.073425;737.225769;437.648926
27;895.94928;511.835083;61.731724;765.143433;464.149445;31.686684;859.358215;426.349884;31.780739;968.65686;707.949524;258.120239;1013.041138;737.23468;437.596313
28;895.889465;511.813934;61.858883;765.148987;464.131256;31.645565;859.342102;426.355103;31.799894;968.64917;708.2854;258.118286;1013.044373;737.237;437.580963
29;895.718567;511.824615;62.194439;765.145325;464.135498;31.658188;859.328796;426.390656;31.780064;968.76416;708.528015;258.169128;1012.960144;737.265442;437.620941
30;895.567932;511.808899;62.472523;765.13916;464.136414;31.670233;859.340637;426.343353;31.802458;968.748291;708.92511;258.153931;1012.98999;737.163818;437.586792
31;895.420227;511.816071;62.540329;765.108398;464.143707;31.660051;859.273193;426.304535;31.820215;968.665344;709.447693;258.296204;1012.834717;737.174316;437.502106
32;895.282227;511.925293;62.769554;765.112305;464.138153;31.631516;859.15564;426.444916;31.911543;968.769531;709.937378;258.272095;1012.847107;737.161987;437.374939
33;895.156372;511.956024;63.067802;765.165649;464.124176;31.599249;859.092957;426.448547;31.956203;969.427307;710.197205;257.996704;1012.838562;737.044128;437.272858
34;894.972839;511.943451;63.379345;765.19397;464.119629;31.560621;858.980042;426.420593;31.992689;969.674561;710.674255;257.734222;1012.951904;737.004944;437.269501
35;894.840149;511.976074;63.96666;765.222046;464.030579;31.669905;858.952209;426.538361;32.010311;970.101563;711.511353;257.636383;1012.719971;737.23822;436.94928
36;894.654785;512.007751;65.396561;765.316528;463.978729;31.670683;858.975708;426.697235;32.052311;970.433594;712.512512;257.555389;1012.315857;737.337158;437.055603
37;894.40155;512.027039;66.729713;765.508057;463.578949;32.374126;858.999268;427.306946;31.96228;970.655334;713.53772;257.62973;1012.276672;737.387024;437.12561
38;894.116943;512.118591;67.674515;765.54834;463.350098;32.690311;858.812561;427.338165;31.975346;970.991638;714.162415;257.733704;1012.476257;737.374512;437.130157
39;894.01355;512.271912;68.635025;765.874207;463.111755;32.785332;858.704102;427.544006;32.081783;971.621521;715.184692;257.699951;1012.580444;737.485107;437.085266
40;893.70282;512.53418;70.200928;766.247131;463.016052;32.868896;858.571167;428.023651;32.200386;972.713379;716.749146;257.32019;1013.308838;737.389771;436.775574
41;893.271362;512.843384;72.438469;766.874451;462.936584;32.872875;858.793579;428.883698;32.395775;974.059692;718.049988;257.267792;1013.90332;737.827881;436.859467
42;893.05365;513.187012;74.253296;767.825867;462.845398;32.811016;858.58252;429.502228;32.492527;975.207581;719.855774;257.634308;1014.816406;738.184631;436.724579
43;892.924988;513.562805;76.512268;769.026184;462.711761;32.302605;858.151672;430.347931;32.669193;975.712402;721.571838;257.990906;1015.845215;738.661499;436.35025
44;892.468872;513.998291;78.878403;770.131104;462.543335;32.4631;858.026184;431.312225;32.710743;976.482117;723.602234;258.268127;1016.805054;739.207581;436.389191
45;892.63855;514.457703;81.402122;771.431763;462.489929;32.83672;858.577454;432.798889;32.783714;977.845886;725.493896;258.259796;1017.565247;739.838745;436.657959
46;892.411926;514.7995;84.227905;773.243103;462.348206;33.634209;858.406311;434.252197;32.915939;980.153076;727.683105;258.086761;1018.502747;740.533081;436.601044
47;892.569946;515.338562;86.971359;775.234741;462.498718;33.410332;858.795776;436.309265;33.631992;981.880005;729.833679;258.308167;1019.100891;741.751404;436.082764
48;892.6427;516.078613;90.156288;778.017822;462.581146;33.463451;859.247253;437.997864;34.679611;983.468201;732.081543;258.501038;1020.073975;742.873779;435.990143
49;892.905579;516.921387;93.11937;780.950684;462.57962;33.448181;859.567322;439.714478;35.420486;985.545898;734.887695;258.667664;1021.808716;743.797913;435.928711
50;893.151978;517.689636;96.460815;784.390503;462.723633;34.337429;860.273621;441.399323;36.676712;987.497437;737.283569;259.100128;1023.046631;745.063599;435.881744
51;893.411743;518.724121;100.04834;787.720703;462.810059;35.73896;861.211487;443.285919;37.932011;989.525024;739.744507;259.409424;1024.056519;746.327209;436.401062
