Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;896.543518;804.648193;66.851097;762.695557;822.580933;33.861557;815.768311;760.661377;34.705494;1053.05481;878.945923;226.133698;1128.254272;875.336243;346.386536
2;896.618958;804.556946;66.79718;762.67688;822.628235;33.966595;815.680969;760.670288;34.687386;1052.962158;878.975342;226.217697;1128.319214;875.323608;346.467194
3;896.602417;804.54071;66.853905;762.635315;822.622803;33.962273;815.69574;760.664856;34.684944;1052.931763;878.979187;226.245667;1128.516724;875.275879;346.306946
4;896.570129;804.547546;66.89518;762.671387;822.58374;33.888412;815.687927;760.683167;34.690063;1052.988892;878.955261;226.185623;1128.554077;875.266602;346.265869
5;896.552063;804.541992;66.85495;762.761963;822.572571;33.888927;815.70166;760.682373;34.67453;1053.04248;878.954102;226.170593;1128.530151;875.187012;346.263184
6;896.656616;804.55011;66.892799;762.794495;822.559509;33.846695;815.746155;760.676636;34.651779;1053.00415;878.887024;226.176971;1128.594604;875.142456;346.348694
7;896.623169;804.62561;66.89621;762.664856;822.607117;33.902878;815.759277;760.65625;34.697784;1052.971069;878.867859;226.197433;1128.615112;875.140442;346.369354
8;896.62854;804.578796;66.860916;762.722839;822.582947;33.930241;815.746765;760.66864;34.668995;1052.997192;878.860229;226.19104;1128.611572;875.143738;346.364258
9;896.563049;804.539551;66.819298;762.769165;822.555359;33.871147;815.693481;760.66748;34.736954;1053.029419;878.866394;226.239944;1128.61731;875.135803;346.39032
10;896.60614;804.559875;66.853806;762.755432;822.584351;33.932632;815.654114;760.665283;34.72728;1053.052002;878.87439;226.174362;1128.619995;875.134216;346.39679
11;896.623108;804.569397;66.86274;762.743164;822.575134;33.926426;815.646545;760.675842;34.691654;1053.07666;878.759094;226.231186;1128.619751;875.134583;346.395325
12;896.616333;804.559448;66.810234;762.733704;822.58728;33.959595;815.675659;760.672607;34.683876;1053.063232;878.724548;226.267502;1128.619263;875.134766;346.394257
13;896.674072;804.556519;66.886932;762.740417;822.573486;33.927734;815.686279;760.70343;34.571934;1053.049683;878.731079;226.276306;1128.628662;875.126038;346.423737
14;896.624817;804.55542;66.821075;762.768921;822.555908;33.86174;815.746765;760.699219;34.556725;1053.048584;878.737854;226.273621;1128.517456;874.993103;346.437195
15;896.573853;804.542664;66.815514;762.753906;822.585632;33.930851;815.733154;760.681335;34.626453;1052.94519;878.704407;226.380783;1128.5;874.96698;346.463654
16;896.623169;804.543213;66.855034;762.734009;822.617493;34.010803;815.688904;760.669983;34.684601;1052.971313;878.737061;226.372284;1128.53772;874.981079;346.468994
17;896.586304;804.550049;66.884888;762.705078;822.679443;33.965427;815.679199;760.653687;34.758034;1052.918701;878.762451;226.306061;1128.598145;874.99585;346.5578
18;896.541809;804.547852;66.856567;762.730774;822.632324;33.999458;815.649963;760.675293;34.680183;1052.929199;878.653564;226.313354;1128.619507;874.987671;346.607239
19;896.561523;804.550964;66.886093;762.742554;822.678833;33.97554;815.710266;760.666382;34.696823;1052.845459;878.64447;226.476563;1128.614624;874.958252;346.606354
20;896.550842;804.645325;66.910431;762.75116;822.674561;33.920185;815.737671;760.665833;34.716244;1052.870239;878.643005;226.366043;1128.615967;874.912476;346.59552
21;896.559937;804.575623;66.902382;762.733215;822.619629;33.992123;815.701111;760.686462;34.66048;1052.80957;878.684937;226.431183;1128.404541;874.958801;346.762115
22;896.547119;804.541138;66.851051;762.733521;822.676086;33.984837;815.684814;760.693237;34.610851;1052.850342;878.638733;226.458115;1128.390991;874.930237;346.819672
23;896.600708;804.542725;66.932335;762.69342;822.704895;33.922363;815.725464;760.670837;34.749386;1052.884155;878.619751;226.440765;1128.349365;874.954895;346.877533
24;896.552002;804.545471;66.867622;762.69873;822.688171;33.929165;815.687805;760.651062;34.782238;1052.780762;878.665344;226.512146;1128.341309;874.961121;346.882721
25;896.564636;804.551392;66.880623;762.734924;822.709717;34.004494;815.61908;760.661987;34.729824;1052.75293;878.668701;226.564362;1128.321655;874.865112;346.862671
26;896.569946;804.551941;66.892357;762.679077;822.69928;33.946281;815.637207;760.67688;34.68922;1052.718506;878.589783;226.562057;1128.324707;874.867676;346.895538
27;896.592407;804.572327;66.880157;762.735107;822.670471;33.918961;815.69519;760.661194;34.729515;1052.001343;878.603088;226.754333;1128.349854;874.874023;347.042877
28;896.62561;804.546997;66.93045;762.716125;822.612854;33.958393;815.704224;760.670227;34.67728;1051.647217;878.501099;226.940491;1128.283325;874.872192;347.017212
29;896.617554;804.527405;66.900803;762.722168;822.585205;33.977169;815.712585;760.693909;34.589748;1051.687622;878.53009;226.916412;1128.261108;874.872925;346.992981
30;896.570251;804.53595;66.836075;762.733704;822.696289;34.01495;815.740906;760.6875;34.647804;1051.805908;878.546875;226.806717;1128.248535;874.872559;347.09967
31;896.563293;804.541443;66.823196;762.739807;822.596741;33.935719;815.664734;760.674988;34.679775;1051.804199;878.474426;226.771439;1128.2052;874.776428;347.097198
32;896.565857;804.541504;66.828186;762.715515;822.661499;33.855366;815.655457;760.663452;34.742104;1051.855957;878.445007;226.761688;1128.140747;874.782776;347.142975
33;896.573364;804.550293;66.88131;762.751648;822.611328;33.926212;815.598938;760.685059;34.695152;1051.776367;878.462158;226.819199;1128.133057;874.754333;347.1828
34;896.567261;804.551941;66.900047;762.750305;822.676575;33.966343;815.64032;760.682312;34.681046;1051.703003;878.466248;226.846115;1128.053833;874.72821;347.088196
35;896.612305;804.541626;66.944984;762.705566;822.622498;33.984909;815.698975;760.691589;34.606197;1051.634155;878.483215;226.864746;1127.96582;874.73175;347.118073
36;896.568604;804.538391;66.855736;762.717651;822.672302;33.984863;815.733276;760.68689;34.581207;1051.661621;878.478088;226.891281;1127.956055;874.734436;347.133698
37;896.588013;804.543396;66.863632;762.680054;822.699036;33.931477;815.717285;760.69397;34.58168;1051.715088;878.455322;226.820175;1128.022095;874.727844;347.195679
38;896.555664;804.546753;66.843094;762.688477;822.702759;33.980133;815.66687;760.679688;34.653622;1051.721436;878.356079;226.872482;1127.983154;874.723267;347.289337
39;896.613647;804.541809;66.929253;762.735474;822.671448;33.940151;815.693054;760.661621;34.697872;1051.800293;878.328369;226.899231;1127.961914;874.690735;347.299866
40;896.602783;804.534607;66.913544;762.76947;822.69104;33.940216;815.690002;760.585022;34.651154;1051.726074;878.34082;226.843338;1128.001099;874.632019;347.348297
41;896.550781;804.543884;66.849747;762.707336;822.703003;33.909939;815.672363;760.67334;34.600483;1051.854614;878.326416;226.808609;1127.979614;874.638184;347.299561
42;896.629089;804.536011;66.915878;762.756592;822.659912;33.870186;815.679504;760.710632;34.581032;1051.869019;878.311279;226.825714;1127.94519;874.610901;347.275635
