Präzision01166;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/26;;;;;;;;;;;;;;;;;;;;
Time:;16:02:06;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;816.539551;796.747986;135.607147;832.802307;1022.690369;205.807388;778.786865;700.676575;82.193787;805.461304;708.666870;78.119789;892.683899;1016.511475;314.331757;;;;;;
2;815.052979;798.629089;137.041641;832.464783;1025.703003;206.348984;776.630981;703.124634;84.351448;803.501465;711.200134;81.102509;893.040466;1018.328125;313.686188;;;;;;
3;813.651306;801.504822;139.282669;832.879089;1028.816162;206.548828;774.571045;705.231628;86.710785;801.251770;713.465393;83.277290;893.188904;1020.247742;313.747009;;;;;;
4;811.818176;803.716553;141.381912;833.405823;1031.372803;206.264465;772.380981;707.739868;88.911964;798.899048;715.695251;85.418243;893.353943;1022.058960;313.852600;;;;;;
5;810.306580;806.108215;143.767731;833.334778;1034.029907;206.714874;770.169678;710.497192;91.244507;796.571838;718.290955;87.668877;893.280334;1023.802917;314.372375;;;;;;
6;808.289001;808.887939;145.588211;833.691895;1037.104370;207.154800;767.812988;713.148010;93.933693;794.318665;720.540161;90.122017;893.006592;1025.546631;314.702179;;;;;;
7;806.452209;811.424377;147.912430;834.113586;1040.134033;207.682465;765.742126;715.802734;95.761406;792.279785;723.219116;92.360764;892.860718;1026.989868;314.627960;;;;;;
8;805.038818;814.390076;150.189026;834.459839;1043.123901;207.784882;763.313110;718.794678;98.439751;790.291992;725.886108;94.691910;892.893921;1028.787354;314.723541;;;;;;
9;803.060364;817.201050;151.845139;834.461121;1046.273438;208.101608;761.309937;721.665894;100.253685;788.885620;728.193787;97.425255;893.092163;1030.528442;314.656189;;;;;;
10;801.101685;819.915894;154.036865;834.745178;1048.871460;208.840210;759.254211;724.551575;102.544334;786.419434;731.388428;99.487328;893.330261;1032.490112;314.717499;;;;;;
11;799.371277;822.863098;156.280045;835.545898;1051.884277;209.313721;757.107605;727.524414;104.853996;783.866455;734.442078;101.466911;893.575684;1034.161011;314.722443;;;;;;
12;797.648926;826.110718;158.202805;836.066284;1054.959839;209.542892;755.066956;730.461121;106.873917;781.378235;737.278015;103.297417;893.679626;1035.920410;315.398407;;;;;;
13;795.453918;829.083191;159.969086;836.047302;1058.094727;210.334518;752.820129;733.684875;108.543404;779.275391;740.533325;105.147400;893.757263;1037.534790;315.802765;;;;;;
14;793.635132;831.873657;161.566971;836.085571;1061.290039;210.839493;750.800537;736.792542;110.477524;777.484314;743.941162;106.803848;893.684753;1039.222412;316.148804;;;;;;
15;791.925720;835.374146;163.281296;836.184448;1064.080078;211.189880;748.440002;740.300781;112.925049;775.210266;746.835144;108.754501;893.811279;1040.638550;316.469055;;;;;;
16;789.847717;838.769653;165.172531;836.499390;1066.809448;211.974121;746.105652;743.364380;114.294701;773.115356;749.688843;110.614914;893.814209;1042.283569;316.870361;;;;;;
17;788.262024;841.975586;166.971542;837.112610;1069.907715;212.806290;744.341370;746.732666;116.262314;771.044373;753.241150;112.981079;894.331726;1043.665405;317.244385;;;;;;
18;786.565002;844.936218;168.292755;837.581665;1072.651123;213.581940;742.685059;749.938293;117.395180;768.752930;756.614319;114.088135;894.071899;1045.470337;318.190491;;;;;;
19;784.702820;848.096008;170.137924;837.709351;1075.422241;214.661392;740.163696;753.479492;118.939949;;;;894.158630;1047.098633;318.756866;;;;;;
20;783.123352;851.590576;171.841156;838.059387;1078.106323;215.464508;737.722961;757.042297;120.296722;;;;894.329834;1048.506592;318.879272;764.767151;762.984497;116.701134;;;
21;780.853516;854.944824;173.250290;838.070435;1080.754150;216.357239;735.983276;760.423035;121.390404;;;;894.213440;1050.199951;319.432068;762.666992;766.207153;117.730194;;;
22;779.079224;858.048462;173.632767;838.256348;1083.600586;217.621719;734.030823;763.976257;122.243568;;;;893.628967;1051.526367;320.364441;760.421082;770.130554;118.825127;;;
23;777.120911;861.211853;175.369125;838.721313;1086.208130;218.120499;731.806458;767.354126;123.080467;;;;893.256897;1053.220703;321.241058;758.273438;773.773987;119.824692;;;
24;775.306702;864.247009;176.629715;839.143311;1088.671631;219.107544;729.632568;770.991638;124.381653;;;;893.819580;1054.669678;321.541565;756.169617;777.191406;120.404861;;;
25;773.295654;867.417053;177.673477;839.309082;1091.409546;219.872391;727.271973;774.295410;124.698715;;;;894.613464;1056.160034;321.605042;755.054138;780.034302;122.304436;;;
26;771.145569;870.345703;179.132095;839.449768;1094.141357;221.030838;725.008545;777.776489;125.908813;;;;895.016907;1057.721680;321.960144;752.970520;783.133423;122.881340;;;
27;769.531677;873.512512;179.876068;839.634766;1096.505005;222.182098;722.957153;781.280640;126.347206;;;;894.854980;1058.961304;322.623444;750.250061;786.968262;123.222282;;;
28;768.327393;876.718628;180.947083;839.826111;1098.628906;222.971100;720.849121;784.781982;126.157753;;;;895.004211;1060.524536;323.338776;747.440979;790.946777;123.131546;;;
29;766.401489;879.849670;181.835770;840.191956;1101.316895;223.474213;718.049927;788.388184;126.830009;;;;895.304688;1061.760254;323.913239;745.263550;793.884949;124.052887;;;
