Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;851.140747;738.299133;108.762726;953.348877;955.004272;257.973572;941.137573;891.5177;414.897736;839.820862;642.46759;92.295265;;;
2;851.163879;738.304565;108.748772;953.247864;955.113037;258.006409;941.990845;891.820374;414.582428;839.820862;642.46759;92.295265;;;
3;851.173157;738.304016;108.738464;953.286682;955.021606;257.981903;941.389893;891.580322;414.700531;839.867737;642.50885;92.321556;761.811523;658.95343;97.088478
4;851.165649;738.286499;108.719131;953.318604;955.075806;257.975891;941.090942;891.49762;414.90509;839.879517;642.542297;92.222771;761.810181;658.974304;97.095238
5;851.036682;738.374329;108.71067;953.31842;955.116821;257.94635;941.0271;891.507019;414.916077;839.873291;642.616638;92.202576;761.771973;658.968018;97.110168
6;851.067566;738.32373;108.688843;953.21698;955.142944;257.959351;941.808533;891.777344;414.627991;839.847656;642.603943;92.158195;761.755432;658.96051;97.123718
7;851.119629;738.331909;108.707779;953.20105;955.151428;257.948273;941.384033;891.585693;414.756256;839.840454;642.568176;92.159195;761.755005;658.958923;97.126312
8;851.120056;738.321411;108.691757;953.607605;954.984985;257.684784;941.741882;891.869629;414.664368;839.870972;642.558899;92.137306;761.841064;659.111511;96.873055
9;851.092834;738.374756;108.644691;953.382019;955.182617;257.721252;941.239197;891.698975;414.750031;839.877075;642.586487;92.162025;761.866211;659.021362;96.930618
10;851.075928;738.399048;108.67627;953.59668;955.135986;257.642212;941.775574;891.877563;414.690948;839.924255;642.610474;92.166832;761.795776;658.966064;97.079803
11;851.084961;738.404358;108.687897;953.720276;955.153015;257.444855;941.265991;891.69104;414.745972;839.889404;642.618225;92.160568;761.802795;658.932434;97.079697
12;851.060303;738.403809;108.696907;;;;940.989197;891.612427;414.862762;839.86853;642.617554;92.157593;761.876038;659.102417;96.805412
13;851.068298;738.409058;108.692833;;;;941.70282;891.882935;414.688202;839.936646;642.641907;92.135712;761.962952;659.18573;96.647804
14;851.071167;738.397644;108.692589;;;;941.271362;891.691162;414.779388;839.855042;642.583069;92.166634;761.959229;659.190186;96.691093
15;851.089233;738.399292;108.683632;953.650085;955.163513;257.36496;940.950562;891.630432;414.886108;839.854248;642.55835;92.188324;761.897705;658.998291;96.936119
16;851.077637;738.395325;108.687531;953.622192;955.172485;257.381897;940.887207;891.631653;414.857086;839.957581;642.562805;92.157539;761.824524;658.922791;97.063042
17;851.087891;738.400085;108.68409;953.638184;955.237122;257.40686;940.964966;891.653503;414.828644;839.974121;642.620667;92.138832;761.749634;658.942383;97.141289
18;851.071167;738.419678;108.710052;953.674866;955.254883;257.471497;940.965698;891.676025;414.810242;839.976196;642.663391;92.146873;761.767578;658.941101;97.058624
19;851.050415;738.408386;108.706932;953.631531;955.25531;257.433136;940.975525;891.659912;414.749329;839.947021;642.6521;92.101265;761.799072;658.958008;97.036705
20;851.080688;738.401428;108.689186;;;;940.959534;891.65979;414.727997;839.936401;642.638367;92.08773;761.872986;659.096375;96.822212
21;851.065552;738.401428;108.690247;953.555359;955.305786;257.404724;940.998291;891.747986;414.791534;839.887268;642.621521;92.097198;761.870117;659.018311;96.927299
22;851.011597;738.496033;108.713066;953.542419;955.276428;257.459564;940.894775;891.760193;414.793884;839.922241;642.610657;92.107956;761.787537;658.964844;97.091515
23;851.021973;738.533325;108.654701;;;;940.819885;891.736816;414.817383;839.892944;642.600403;92.113617;761.820801;659.064697;96.90638
24;851.004639;738.541931;108.662163;953.536194;955.373047;257.491577;940.862;891.727478;414.842957;839.882263;642.585144;92.075821;761.841003;659.001465;96.964195
25;851.012634;738.50531;108.68779;953.363525;955.376709;257.507202;940.868591;891.728394;414.827484;839.968445;642.668274;92.06942;761.787354;658.964844;97.089851
26;850.986511;738.513184;108.667931;;;;940.83728;891.781555;414.780853;839.909973;642.687073;92.070114;761.81958;659.053284;96.922348
27;850.970215;738.510925;108.657402;953.358032;955.396973;257.460724;940.884155;891.770813;414.823517;839.97876;642.767273;92.068909;761.836853;658.996887;96.972839
28;851.01355;738.512207;108.691971;953.358032;955.396973;257.460724;940.816528;891.780212;414.824646;840.011475;642.835632;92.04245;761.817566;658.950989;96.999146
29;850.990967;738.518433;108.667953;953.325378;955.409851;257.477844;940.846863;891.772034;414.82959;839.958252;642.778015;92.027145;761.844177;658.953857;96.993858
30;851.013428;738.518982;108.645752;;;;940.84845;891.836182;414.820221;839.973999;642.748962;92.033821;761.864075;659.068115;96.862061
31;850.995056;738.518921;108.650093;;;;940.817871;891.864807;414.792816;839.998901;642.608643;92.05143;761.895203;659.109802;96.795776
