Frame;1_X;1_Y;1_Z
1;870.498108;382.616028;28.346163
2;870.765442;382.532898;27.865908
3;870.792969;382.518402;27.805618
4;870.834167;382.516327;27.943731
5;870.791199;382.381744;27.843143
6;870.79071;382.350555;27.811769
7;870.804138;382.278412;27.819336
8;870.808716;382.206635;27.744295
9;870.83728;382.123657;27.756815
10;870.820435;381.92099;27.713152
11;870.573059;381.844635;27.894285
12;870.512512;381.75296;27.928938
13;870.546631;381.643799;27.886021
14;870.594971;381.594116;27.799822
15;870.609619;381.414642;27.778765
16;870.652283;381.068237;27.807199
17;870.6427;380.490479;27.677488
18;870.637451;379.290955;27.857929
19;870.979065;377.379639;27.983011
20;870.757813;375.905212;28.019236
21;870.357605;374.132172;28.157799
22;870.08844;372.190979;27.781349
23;870.227112;369.643036;27.408466
24;870.145203;366.984528;27.699614
25;869.782349;364.357178;28.099396
26;869.329285;361.490265;27.89081
27;869.353699;358.342316;27.3424
28;869.091858;355.250061;27.417038
29;868.653564;352.098907;27.860992
30;868.526306;349.128845;27.5502
31;868.505615;345.379089;27.071968
32;867.850708;341.906342;27.307806
33;867.417603;338.243469;27.278063
34;867.013916;334.329163;27.238625
35;866.339844;330.855408;27.364721
36;865.992798;326.90744;26.720163
37;865.565857;322.713867;27.471233
38;864.984802;318.597687;26.609831
39;864.482849;314.467316;26.763725
40;864.009949;310.394897;26.63237
41;863.271301;306.143707;26.446316
42;862.843079;301.721283;26.66468
43;862.433838;297.479248;26.316076
44;861.866211;292.823608;26.582083
45;861.489563;288.414032;26.35796
46;860.845093;283.902405;26.308617
47;860.538696;279.479034;26.230383
48;860.078552;274.93924;25.889133
49;859.506348;270.670532;26.427088
50;859.084656;266.517059;26.051071
51;858.728638;262.381256;26.149284
52;858.447144;257.934479;26.050209
53;857.949402;253.824905;25.889256
54;857.610718;249.771927;25.823122
55;857.377625;245.531174;25.717962
56;856.972717;241.311646;25.863943
57;856.699158;237.33078;25.953976
58;856.438232;233.250595;25.421902
59;856.183777;229.373795;25.782902
60;855.789307;225.373779;25.716951
61;855.595764;221.614899;25.503466
62;855.597107;217.992477;25.460245
63;855.179016;214.152725;25.702188
64;855.12616;210.720581;25.725668
65;854.966187;207.046173;25.279257
66;854.823242;203.808304;25.448433
67;854.746948;200.57663;25.817337
68;854.592163;197.701813;25.210405
69;854.748169;194.692749;25.393335
70;854.421204;191.752029;25.562237
71;854.298828;189.016785;25.435179
72;854.2146;186.391357;25.620577
73;854.404907;184.052658;25.219687
74;854.51178;181.833908;24.928295
75;854.248535;179.248016;25.089043
76;854.362305;177.295517;24.954731
77;854.348083;174.966949;25.220787
78;854.296875;173.236526;25.049107
79;854.1604;171.25296;24.554384
80;854.246216;169.861023;24.632389
81;854.214539;168.314667;24.977587
82;854.201843;166.628021;24.967937
83;854.245117;165.375153;24.873932
84;854.21167;164.285126;24.513447
85;854.041443;162.995255;24.580732
86;854.158875;162.149094;24.345291
87;854.137451;161.502884;24.419552
88;854.005005;161.000977;24.440166
89;853.968323;160.566879;24.576706
90;853.81897;160.348999;24.651033
91;853.624023;160.27153;24.618185
92;853.572815;160.376694;24.761326
93;853.472595;160.42334;24.850594
94;853.313171;160.646759;24.799543
95;853.068481;160.986084;24.849871
96;852.85907;161.387436;24.851637
97;852.765259;161.674896;24.935465
98;852.686829;162.011978;24.902554
99;852.522888;162.334915;24.958544
100;852.260925;162.847015;25.075237
101;851.775024;163.812943;25.085571
102;850.949524;165.493988;24.737312
103;849.966919;167.186523;24.796389
104;848.868958;169.499161;24.981979
105;847.845154;171.571854;25.17502
106;846.386353;174.244003;24.87726
107;844.981445;176.541779;24.593897
108;843.717102;179.561707;24.887026
109;841.964294;182.235809;25.034809
110;840.443787;185.115829;25.080652
111;838.861572;188.376633;25.245678
112;837.006348;191.69664;24.954676
113;834.974243;195.187912;25.167419
114;833.139404;198.720642;25.481533
115;831.244385;202.41684;24.992323
116;829.476257;206.911713;25.01263
117;827.231628;211.097992;24.916306
118;825.422485;215.611557;24.790192
119;823.087585;220.113174;24.742817
120;821.179016;224.454391;24.609608
121;818.775513;229.064499;24.630596
122;816.758179;233.599014;24.703156
123;814.338806;238.292664;24.813265
124;812.308472;242.826874;24.876606
125;809.91272;247.370728;24.917532
126;808.010437;252.048294;24.977436
127;805.632629;257.011932;24.945913
128;803.573303;261.779205;24.848164
129;801.31311;266.823456;25.032721
130;799.363159;271.534393;25.245401
131;796.761108;276.209015;25.347572
132;795.209839;280.783661;25.273218
133;793.239624;285.225525;24.873344
134;791.37915;289.936554;25.107948
