Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;799.459717;659.250977;63.722157;806.434387;775.401733;90.088882;823.981689;674.003174;71.161583;777.089355;1109.071289;365.139862;775.900574;1025.124878;159.940872
2;799.438232;659.304321;63.62262;806.428284;775.384766;90.057953;823.950745;674.109802;71.12603;777.084167;1109.074585;365.171844;775.865295;1025.129883;159.966751
3;799.426331;659.299133;63.7314;806.380798;775.419067;90.054634;823.962646;674.110962;71.107452;777.051147;1109.161499;365.202362;775.829956;1025.134888;159.992661
4;799.444763;659.267395;63.707031;806.421387;775.411743;90.099899;823.988892;674.108154;71.132927;777.05127;1109.174805;365.188263;775.820557;1025.134766;160.002045
5;799.491638;659.297668;63.756241;806.430542;775.387024;90.069916;824.025391;674.111511;71.155457;777.154846;1109.182495;365.214813;775.824341;1025.134521;159.998749
6;799.389954;659.327637;63.748428;806.432739;775.418274;90.042885;824.012085;674.104248;71.157715;777.16748;1109.272949;365.258728;775.829285;1025.134766;159.993484
7;799.383423;659.392639;63.655788;806.430176;775.432007;90.057106;823.922791;674.094849;71.203865;777.167358;1109.200439;365.224487;775.857178;1025.129883;159.974701
8;799.496033;659.458984;63.664982;806.410706;775.49115;90.095436;823.944153;674.108276;71.221581;777.155273;1109.266357;365.258667;775.899963;1025.12793;160.027206
9;799.475708;659.419739;63.640598;806.413757;775.399353;90.083138;823.953796;674.111206;71.254562;777.14917;1109.279907;365.231049;775.927246;1025.124268;160.049377
10;799.440613;659.403931;63.704891;806.414063;775.450012;90.108803;823.947937;674.101501;71.232826;777.157715;1109.276733;365.214569;775.818115;1025.138916;160.012421
11;799.398743;659.404968;63.689987;806.380188;775.39447;90.118202;823.973816;674.113831;71.300896;777.131714;1109.246948;365.177734;775.747925;1025.236084;160.056549
12;799.436157;659.418701;63.722416;806.433533;775.412598;90.195465;823.944275;674.101868;71.300262;777.169556;1109.261841;365.162933;775.791809;1025.153076;160.030151
13;799.441895;659.404236;63.82444;806.403137;775.403503;90.193329;823.974365;674.097839;71.266731;777.108276;1109.345093;365.257233;775.776917;1025.138306;160.028351
14;799.465576;659.425293;63.745937;806.400269;775.407959;90.214714;823.925537;674.109192;71.243553;777.074829;1109.348389;365.246521;775.67926;1025.155029;160.008972
15;799.446411;659.409058;63.810848;806.408813;775.426514;90.273064;823.902527;674.098999;71.207634;777.124023;1109.367798;365.255829;775.600525;1025.142944;160.053177
16;799.404358;659.404175;63.804371;806.374878;775.391479;90.14682;823.86438;674.098328;71.185181;777.161865;1109.361938;365.184387;775.495056;1025.148804;160.051498
17;799.449646;659.42041;63.768555;806.355652;775.390869;90.184578;823.877197;674.0755;71.246414;777.170105;1109.367065;365.19577;775.406067;1025.161133;160.0784
18;799.350525;659.380798;63.781654;806.304321;775.449707;90.309616;823.773193;674.090515;71.288216;777.145081;1109.371948;365.239716;775.271179;1025.177124;160.065842
19;799.281738;659.352417;63.774448;806.2099;775.40863;90.326073;823.723511;674.063354;71.319656;777.1073;1109.458252;365.288574;775.145142;1025.078979;160.035339
20;799.290894;659.31665;63.782093;806.165405;775.359131;90.363434;823.65387;674.045654;71.382332;777.194458;1109.487427;365.339539;775.059326;1025.068237;160.021332
21;799.232056;659.404358;63.768227;806.182007;775.360962;90.550842;823.622864;674.013733;71.394592;777.221008;1109.505859;365.296387;774.937378;1025.089966;159.928467
22;799.105652;659.379272;63.787884;806.136414;775.360229;90.608223;823.488159;674.022034;71.487938;777.286011;1109.479858;365.356384;774.790527;1025.114624;159.825333
23;799.01416;659.363098;63.848301;806.003845;775.360718;90.726723;823.427368;673.994812;71.491196;777.342651;1109.491211;365.365753;774.743652;1025.122925;159.790833
24;798.90918;659.413391;63.872425;805.698853;775.479858;90.98304;823.34668;674.019409;71.552002;777.419067;1109.572266;365.392517;774.53949;1025.231689;159.698364
25;798.895569;659.489319;63.85218;805.44635;775.572266;91.227509;823.226013;673.970032;71.683304;777.468079;1109.557739;365.583862;774.335999;1025.344604;159.724976
26;798.808594;659.509888;63.893978;805.238525;775.618042;91.413399;823.098511;673.954224;71.756454;777.511841;1109.647705;365.647705;774.176758;1025.343384;159.759872
27;798.716492;659.581909;63.939487;805.110596;775.562805;91.790428;822.928162;674.017273;71.801338;777.653259;1109.674316;365.680756;773.998962;1025.43457;159.735107
28;798.605713;659.568115;64.027733;804.732605;775.69397;91.793259;822.80188;674.065247;71.86277;777.789917;1109.765991;365.697083;773.850647;1025.537598;159.783218
29;798.534973;659.660583;64.106323;804.407288;775.720886;91.991417;822.652344;674.22168;71.875969;777.930176;1110.048462;365.533508;773.734314;1025.754028;159.782745
30;798.427612;659.822937;64.197838;804.225952;775.817505;92.213676;822.452515;674.280457;71.863724;778.112427;1110.200195;365.498718;773.452332;1025.946289;159.795792
31;798.629028;660.052795;64.336777;804.125427;775.859436;92.505928;822.275696;674.380005;72.013191;778.25885;1110.296997;365.85495;773.299133;1026.205811;159.992691
32;798.314026;660.10321;64.518295;803.698486;775.822815;92.753609;822.372681;674.417542;72.560928;778.453491;1110.516968;365.666168;773.146973;1026.451172;160.036026
33;798.106079;660.26709;64.925934;803.215454;776.130432;93.2985;822.042053;674.494446;73.628654;778.572815;1110.848022;365.597473;772.957153;1026.722778;160.240417
34;797.79126;660.434387;65.429161;802.873108;776.409058;93.404808;821.513611;674.833374;74.332512;778.819824;1111.192261;365.611694;772.730713;1026.969849;160.342682
35;797.488037;660.766113;65.956284;802.72229;776.527649;93.487892;820.826965;675.282349;74.602745;778.977722;1111.594238;365.7258;772.418091;1027.285889;160.444046
36;796.733643;660.981689;67.000008;802.104431;776.894287;93.930786;820.363403;675.72583;74.703545;779.229309;1112.042236;365.88736;772.325989;1027.676392;160.171585
37;796.095825;661.300171;67.90345;801.622009;777.309509;94.80526;819.697083;676.10321;75.357025;779.464233;1112.324707;365.892334;772.027161;1028.097046;160.266739
38;795.383545;661.441345;68.407623;800.722961;777.661133;95.724304;819.010559;676.458069;76.680557;779.507202;1112.713013;365.899933;771.742981;1028.783936;160.075378
39;794.990417;661.907166;69.1492;800.055664;778.233093;96.390373;818.468445;676.78125;77.725876;779.498352;1113.138672;366.026917;771.612549;1029.508545;159.914719
40;794.489685;662.55896;70.222549;799.852478;778.862854;96.963921;817.88916;677.211853;79.104591;779.585144;1113.488647;366.134613;771.453125;1030.480957;159.871124
41;793.192322;663.233459;72.039474;799.16394;779.402222;97.867493;817.032043;677.540588;80.189445;779.397766;1114.110596;366.524017;771.364441;1031.402832;159.868576
42;792.270142;663.898682;73.588783;798.335571;779.953613;98.852898;815.926819;678.316101;81.10759;779.209229;1114.654907;367.000153;771.197144;1032.108765;159.788651
43;791.723206;664.584656;74.687408;797.906677;780.636902;99.842979;815.859863;678.722839;82.664932;779.299561;1115.292358;367.205078;770.951538;1033.144287;159.87854
44;791.296631;665.369568;76.070747;797.214844;781.608337;101.003754;814.778687;679.5802;85.063972;779.710144;1115.981445;367.216309;770.528076;1034.37561;160.001236
45;791.134399;666.185547;77.766144;796.067139;782.534729;102.326698;814.448059;680.343933;86.68898;780.140442;1116.681763;367.05545;769.860046;1035.372437;160.391006
46;789.648499;667.076477;80.364029;795.862915;783.595947;103.412422;813.571228;681.153015;88.991249;780.283813;1117.380493;366.858185;769.521484;1036.622681;160.566833
47;788.711609;667.829468;82.797127;795.515381;784.681213;105.618195;812.826782;682.270752;90.856796;780.326416;1118.399902;366.980774;769.308716;1038.264282;160.667023
48;788.221741;668.696838;84.978279;794.848328;785.695251;108.164467;811.944946;683.175537;93.56321;780.491699;1119.355469;367.010162;769.084961;1039.509399;160.550201
49;787.402588;669.983276;87.75351;794.266357;787.192078;109.73111;811.563171;684.625488;96.172638;780.65387;1120.224609;367.224243;768.807983;1041.189941;160.538055
50;786.509216;671.03064;91.376747;793.508362;788.45343;111.61792;810.673523;685.896973;98.956192;780.907654;1121.131714;367.378906;768.786194;1042.632813;160.519669
51;785.689209;672.629639;94.802353;793.051514;789.904541;113.942497;810.148804;686.513611;102.529655;781.135132;1122.424438;367.452698;768.549927;1044.567749;161.068512
52;785.232788;673.789612;97.475319;792.317383;791.343628;116.650215;809.955078;688.36377;105.860489;781.390076;1123.388306;367.820557;768.246582;1046.311157;161.571579
53;784.700195;675.024048;100.911186;791.98468;792.979919;118.656082;808.932861;689.868225;108.996666;781.86438;1124.692139;368.082703;767.849426;1048.190796;161.939713
54;784.064941;676.978882;104.259605;791.29541;794.452209;121.020111;808.129578;691.202881;112.511665;782.03418;1125.901733;368.403412;767.562134;1050.110352;161.93692
55;784.008545;678.537964;107.658401;790.34137;796.270325;123.653847;807.526489;693.21582;115.099091;782.272522;1127.190308;368.689575;767.072449;1052.376343;161.857086
56;783.599792;680.322083;110.996742;789.937622;797.961121;126.292618;807.179871;694.56842;118.752808;782.475952;1128.391968;368.940308;766.705994;1054.194336;162.316956
57;783.019104;681.883606;114.699013;789.375977;799.906555;129.177704;806.4021;696.735413;122.781319;782.562683;1129.782959;369.188965;765.987;1056.399658;163.05867
58;781.618774;683.70813;118.720154;788.504639;801.776794;131.952042;805.718689;698.140564;126.611748;782.772095;1130.963989;369.661682;765.215515;1058.421387;163.706818
59;781.520569;685.440491;122.062103;787.844116;803.813904;134.277634;805.518921;700.431458;129.587906;782.991699;1132.228394;370.285278;764.650269;1060.597656;164.334183
60;780.836975;687.606995;125.864105;787.375793;805.968872;137.440125;804.988037;702.345459;133.092178;783.166931;1133.544189;370.581146;764.442871;1062.871094;164.881943
61;780.105225;689.515381;129.309219;786.617798;808.03717;139.628067;804.268311;704.456299;137.283264;783.195923;1134.852539;371.065887;764.154663;1064.96582;165.004379
62;779.177612;691.783386;133.244186;785.500732;809.965271;142.544449;803.406799;706.366211;140.434357;783.225281;1136.27478;371.750244;763.656799;1067.704102;165.417709
63;778.581848;694.017944;136.758514;785.060425;812.450806;145.014633;803.021973;708.869629;143.508316;783.091187;1137.637085;372.528625;763.200562;1070.010986;165.866028
