Frame;1_X;1_Y;1_Z
1;882.729309;396.365479;32.167324
2;882.797974;396.272888;31.865259
3;882.794067;396.348785;31.997114
4;882.752258;396.262787;31.945755
5;882.778748;396.247589;31.903418
6;882.792969;396.255249;31.892523
7;882.766907;396.246979;31.909857
8;882.77002;396.158691;31.884945
9;882.776917;396.139587;31.875525
10;882.774902;396.130859;31.820223
11;882.772949;396.119598;31.83322
12;882.768311;396.11676;31.845785
13;882.792114;396.128845;31.833151
14;882.775635;396.121277;31.839037
15;882.809631;395.987091;31.770147
16;882.846924;395.964447;31.800337
17;882.865173;395.964172;31.786325
18;882.80249;395.931824;31.757769
19;882.769714;395.842407;31.778233
20;882.764954;395.823792;31.790989
21;882.806396;395.697449;31.78952
22;882.765381;395.624176;31.678051
23;882.796021;395.482758;31.60417
24;882.788086;395.346466;31.582529
25;882.794617;395.1185;31.596235
26;882.702942;394.96759;31.626724
27;882.85437;394.828674;31.552101
28;882.756348;394.515289;31.618286
29;882.692139;394.120941;31.576874
30;882.623169;393.777863;31.532637
31;882.634888;393.542847;31.657026
32;882.693115;393.20578;31.720676
33;882.664429;392.766693;31.738716
34;882.663635;392.470612;31.700954
35;882.75293;392.215485;31.718052
36;882.80365;391.960785;31.70664
37;882.933472;391.678894;31.64893
38;882.962769;391.32431;31.563473
39;882.986206;390.9263;31.553091
40;882.874573;390.395477;31.627903
41;882.733337;389.82666;31.782537
42;882.609009;389.198669;31.761036
43;882.497986;388.602692;31.800032
44;882.50885;388.169495;31.725384
45;882.50708;387.715393;31.622194
46;882.623291;387.288544;31.448879
47;882.66626;386.450317;31.293739
48;882.706726;385.509735;31.165129
49;882.739685;384.548706;31.259712
50;882.92804;383.864716;31.184977
51;883.21228;383.141144;31.282545
52;883.390076;382.068634;31.336445
53;883.182373;381.009857;31.510223
54;883.009827;380.059021;31.678869
55;882.958191;379.368835;31.590908
56;882.92804;378.295715;31.700483
57;882.741577;376.890808;31.411154
58;882.693542;375.872284;31.355902
59;882.867126;374.842102;31.226641
60;883.029114;373.452606;31.027534
61;883.077026;372.008209;30.839157
62;883.170959;371.053467;30.958969
63;883.221619;369.583374;31.481312
64;882.883545;368.045654;31.670601
65;882.9375;366.822052;31.708532
66;882.787598;365.110474;31.80127
67;882.932861;363.61499;31.220978
68;883.046448;362.193237;30.789762
69;882.950378;360.478027;30.959026
70;882.958252;359.155945;31.120308
71;883.042664;357.593719;30.955923
72;883.10199;355.68573;31.428709
73;883.053833;353.950134;31.516296
74;882.782288;352.091766;31.438274
75;882.850586;350.690308;30.947754
76;883.008606;348.839966;30.997715
77;882.840576;347.111725;31.016981
78;882.968872;345.02774;30.947199
79;882.891968;343.278717;31.254959
80;882.743896;341.282562;31.408575
81;882.719482;339.448608;30.942842
82;882.540222;337.369537;30.843582
83;882.448181;335.529022;30.80143
84;882.326355;333.440063;30.827883
85;882.329529;331.58432;30.830093
86;882.388733;329.24231;30.932751
87;882.105042;327.17569;30.847166
88;881.902649;325.032837;30.7679
89;881.983276;323.258881;30.60915
90;882.185181;320.821533;30.508921
91;882.054382;318.860382;30.378963
92;881.921265;316.287781;30.935825
93;881.890625;314.501251;30.754641
94;881.871277;312.121063;30.376806
95;882.183533;310.23587;30.258305
96;882.241272;307.925446;30.451269
97;882.10614;305.759003;30.66979
98;882.396606;303.446991;30.976345
99;882.564941;301.291229;30.859985
100;882.608582;299.515198;30.42782
101;882.577576;297.207397;30.406452
102;882.717773;295.1987;30.753357
103;882.937195;292.913269;30.67457
104;883.088135;291.156616;30.249971
105;883.268738;288.681091;30.871981
106;883.138489;286.734222;30.573856
107;883.035095;284.509155;30.346846
108;883.078674;282.855469;30.08271
109;883.072205;280.737885;30.036446
110;883.164551;278.83255;30.297411
111;883.001831;276.493011;29.965622
112;882.8302;274.555817;30.236877
113;882.750793;272.625824;29.931042
114;882.873352;270.959045;29.898617
115;882.898071;268.77597;29.976068
116;882.898438;266.704468;29.943989
117;882.645142;264.654205;29.985134
118;882.818481;262.973846;29.845051
119;882.921509;260.987091;29.993048
120;882.933228;258.898865;29.734257
121;882.748901;256.824219;29.739836
122;882.805908;255.013504;29.717199
123;882.976074;253.264328;30.017809
124;883.024414;251.33197;29.919125
125;883.00885;249.547379;29.750559
126;882.842896;247.439209;29.781853
127;883.051636;246.023178;29.657955
128;883.018799;243.920837;29.828264
129;883.125732;242.414658;29.796501
130;883.023926;240.444717;29.869566
131;882.843628;238.474747;29.983807
132;882.694092;236.789505;29.688412
133;883.010864;235.303055;29.777723
134;883.155212;233.829773;29.700354
135;882.912598;232.046021;29.929111
136;882.771484;230.479019;29.796865
137;882.694397;228.582077;29.421337
138;882.799744;226.916245;29.448099
139;882.952332;225.565613;29.760248
140;882.951294;223.918579;29.587999
141;882.958923;222.739792;29.578724
142;882.95343;221.166107;29.308748
143;882.80304;219.37561;29.228878
144;882.98999;218.238953;29.224079
145;883.030457;216.906616;29.233433
146;882.944336;215.334503;29.280758
147;882.980164;214.279526;29.271008
148;883.078979;213.058594;29.40703
149;882.914001;211.209549;29.339666
150;882.957825;210.001434;29.109919
151;882.957764;208.90686;29.214638
152;883.076233;207.475952;29.221489
153;883.051208;206.367905;29.271667
154;883.026611;205.487503;29.247467
155;883.017578;204.246567;29.281874
156;883.022339;202.911377;29.319796
157;882.960693;201.920731;29.149759
158;882.837524;200.831818;28.99769
159;882.727417;199.554031;29.159966
160;882.769714;198.338699;29.458494
161;882.65332;197.825089;29.128063
162;882.565796;197.146042;29.007795
163;882.400391;196.152695;29.130497
164;882.22168;195.092377;29.319075
165;882.170471;194.339661;29.329111
166;881.984802;193.530334;28.716394
167;881.942444;192.758957;28.812107
168;881.801514;191.977966;29.084913
169;881.682068;191.025146;29.330652
170;881.630859;190.450089;29.390366
171;881.610168;189.967102;29.043921
172;881.59082;189.455948;28.796595
173;881.468933;188.843658;28.81782
174;881.311829;188.09816;28.989414
175;881.132813;187.38089;29.265371
176;881.08606;186.758713;29.165901
177;880.943481;186.323593;29.123148
178;880.78833;185.946228;29.040058
179;880.649902;185.554825;29.016115
180;880.543945;185.110565;29.010519
181;880.44812;184.500687;28.965837
182;880.419312;183.924377;29.049042
183;880.312439;183.334061;29.251123
184;880.313354;182.867462;29.171896
185;880.270752;182.592102;29.072834
186;880.062805;182.038834;29.047829
187;880.255615;181.864624;29.143612
188;880.129456;181.452591;29.112864
189;880.146912;181.068405;28.929148
190;880.165161;180.675735;28.891367
191;880.142578;180.28508;28.973347
192;880.058594;179.936966;29.04706
193;880.014954;179.545059;29.113398
194;879.964661;179.162094;29.131432
195;879.910156;178.931503;29.178673
196;879.812622;178.847778;29.150824
197;879.897217;178.707092;28.946053
198;879.92688;178.606339;28.900127
199;879.905762;178.490799;28.960661
200;879.84259;178.447098;28.908783
201;879.832092;178.331482;28.924561
202;879.81012;178.289337;28.954086
203;879.784363;178.316727;28.993494
204;879.801697;178.301529;28.963541
205;879.791138;178.398361;28.920689
206;879.805481;178.426422;28.938562
207;879.789978;178.459366;28.920937
208;879.78125;178.4711;28.894245
209;879.776245;178.558319;28.890034
210;879.824829;178.631561;28.905415
211;879.751587;178.663239;28.946028
212;879.746704;178.734024;28.927639
213;879.713623;178.889084;28.994268
214;879.55835;178.918854;29.14101
215;879.437561;178.910492;29.192158
216;879.365356;179.082916;29.197348
217;879.411865;179.292786;29.206013
218;879.335815;179.522797;29.172077
219;879.227234;179.708603;29.178057
220;879.192627;180.021423;29.132521
221;879.019287;180.183517;29.393965
222;878.897827;180.484283;29.407084
223;878.804565;180.752136;29.41003
224;878.748169;181.154907;29.106884
225;878.640076;181.356995;29.360811
226;878.505737;181.663193;29.41291
227;878.392395;181.992844;29.331526
228;878.195313;182.422882;29.540155
229;877.93988;182.841675;29.756994
230;877.675476;183.28717;29.979261
231;877.286987;183.830399;29.854315
232;876.924377;184.555603;29.599892
233;876.526733;185.426941;29.20097
234;876.211243;186.137451;28.898222
235;875.773193;186.718307;28.918362
236;875.381531;187.155869;28.898891
237;875.011169;187.64151;28.958735
238;874.630493;188.41713;28.925983
239;874.298218;189.474594;29.11685
240;874.024231;190.552948;29.26227
241;873.65033;191.412796;29.261438
242;873.24231;192.019119;29.327181
