Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;868.728821;744.029602;112.387054;855.412659;643.282837;93.887192;751.171509;689.83374;98.529198;1047.50708;884.655029;361.501587;998.424072;911.632324;177.536652
2;869.105835;743.833252;112.210243;855.315063;643.343994;93.868256;751.212158;689.818665;98.595779;1047.567505;884.649963;361.447723;998.865234;911.497559;177.327698
3;869.128845;743.735413;112.139023;855.257263;643.422791;93.843498;750.975342;689.789673;98.54821;1047.515015;884.660645;361.369965;998.924622;911.445313;177.177948
4;869.073181;743.719482;112.123276;854.719543;644.222595;93.91481;751.161377;689.718079;98.603493;1047.56897;884.728943;361.376038;998.750549;911.513184;177.236206
5;869.101563;743.71521;112.14032;854.965088;644.076904;93.732002;751.096375;689.666016;98.572708;1047.536743;884.747253;361.317657;998.772827;911.405396;177.219925
6;869.099426;743.638;112.139999;855.360901;643.643433;93.853218;750.997559;689.570557;98.551796;1047.573975;884.73645;361.269958;998.843933;911.275635;177.013519
7;869.039001;743.650818;112.16436;855.459167;643.160217;94.020203;751.01001;689.461182;98.578743;1047.877808;884.622314;361.226074;998.981995;911.169739;176.888977
8;869.084412;743.529175;112.089218;855.498413;642.891724;94.123871;751.111145;689.331787;98.583961;1047.886841;884.611084;361.168915;999.078064;911.071777;176.762009
9;869.031067;743.438721;112.111679;855.455627;642.935242;94.162842;751.319153;689.174438;98.835037;1047.884521;884.642029;361.176788;999.150085;910.953308;176.677261
10;869.047302;743.393799;112.095123;855.55835;642.936584;93.932907;751.559753;688.919373;98.938896;1047.816406;884.71698;361.012451;999.163269;910.851501;176.50914
11;869.016846;743.332275;112.063309;855.613708;642.997681;93.880226;751.596313;688.817566;98.629547;1047.786499;884.77533;360.985413;999.184937;910.835876;176.455292
12;869.029541;743.186096;111.938454;855.620605;643.102173;94.041237;751.754089;688.580627;98.754662;1047.722534;884.789734;360.940857;999.224731;910.762573;176.376587
13;869.126648;743.052856;111.922287;855.63623;643.178772;94.152832;751.816772;688.503784;98.683403;1047.698608;884.801514;360.804962;999.194946;910.701599;176.410965
14;869.106201;742.97345;111.991577;855.712158;643.092407;94.083168;752.013367;688.193237;98.879913;1047.69519;884.774475;360.757324;999.305481;910.58728;176.159271
15;869.032532;742.874634;111.956024;855.714783;642.991516;94.120468;752.236877;687.841492;99.021118;1047.669556;884.811768;360.730743;999.640198;910.347046;175.788376
16;869.079773;742.652039;111.84977;855.783386;642.91217;94.120079;752.341492;687.582886;99.042397;1047.518311;884.902954;360.651337;999.010132;910.869141;175.593613
17;869.1026;742.417847;111.717621;855.844543;642.740845;94.050911;752.580322;687.451233;99.092094;1047.442383;884.924194;360.577148;998.678162;910.981445;175.59668
